Sample	Reads passing filters
CTR_1	43773770.0
CTR_2	39426647.0
CTR_3	39645666.0
CTR_4	41785004.0
CTR_5	52524690.0
CTR_6	46006748.0
GEM_50_TAX_10_1	53282781.0
GEM_50_TAX_10_2	360129162.0
GEM_50_TAX_10_3	44970759.0
GEM_50_TAX_10_5	40812185.0
GEM_50_TAX_10_6	50883744.0
SIM_1	54377045.0
SIM_2	52026514.0
SIM_3	48252175.0
SIM_4	45379000.0
SIM_5	41136620.0
SIM_6	47038554.0
VPA_1	39746705.0
VPA_2	40444813.0
VPA_3	54168385.0
VPA_4	50641986.0
VPA_5	38601766.0
VPA_6	46034274.0
VPA_SIM_1	48193510.0
VPA_SIM_2	55684212.0
VPA_SIM_3	45320435.0
VPA_SIM_5	52980047.0
VPA_SIM_6	51099205.0
VS_GEM_50_TAX_10_1	53423942.0
VS_GEM_50_TAX_10_2	56128791.0
VS_GEM_50_TAX_10_3	49081492.0
VS_GEM_50_TAX_10_4	53214576.0
VS_GEM_50_TAX_10_5	48493092.0
VS_GEM_50_TAX_10_6	54232013.0
