Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
CTR_1 - Adapter 1	13702678	3834055	1024132	232967	12974	9512	3362	2771	2985	3008	2393	3357	107	3087	88	2758	194	1510	3593	107	164	42	824	2116	110	682	672	91	611	570	833	98	762	834	78	162	1081	75	332	90	347	349	374	424	335	126	100	662	560	95	147	124	67	65	111	96	50	73	52	41	50	100	64	72	52	113	45	58	56	57	57	45	39	83	58	71	91	61	57	64	80	95	52	50	44	38	42	50	22	49	45	55	49	60	75	114	129	276	849	49615
CTR_2 - Adapter 1	12004997	3395782	894764	209687	11184	11656	5923	5123	5120	5088	4250	6607	110	5991	139	5316	327	2752	6974	156	154	79	1538	3957	158	1275	1233	133	1105	1083	1544	188	1370	735	153	976	612	640	704	508	493	590	516	705	397	142	79	672	276	170	355	376	117	160	544	229	106	67	234	37	49	251	82	82	109	231	69	126	101	108	55	78	107	195	115	126	131	85	78	72	109	99	69	60	62	46	42	84	37	59	79	64	71	96	118	196	343	563	2736	352607
CTR_3 - Adapter 1	12317620	3429439	936870	219421	11716	12732	6340	5681	5698	5433	4872	7630	158	7118	112	6753	355	3400	8909	74	101	131	1996	5207	171	1708	1620	139	1585	1358	2119	176	2002	131	1724	1909	1620	3981	314	1647	219	844	785	1055	619	229	200	1894	775	199	408	284	139	154	209	196	66	109	156	64	116	213	89	111	164	211	410	257	471	990	166	121	170	164	189	180	157	140	141	197	255	201	124	117	120	95	81	121	94	106	137	128	238	247	372	496	849	4563	21756	529082
CTR_4 - Adapter 1	12722297	3499020	910116	214651	10861	12582	7028	6447	6223	6003	5300	8289	160	7711	175	7096	387	3687	9337	119	131	108	2014	5460	154	1715	1575	127	1499	1350	2042	157	1943	1964	91	113	962	1072	1361	860	1281	154	635	968	372	179	44	440	347	253	298	489	200	110	486	425	170	155	412	61	65	367	105	58	152	292	131	207	142	111	88	110	121	184	142	164	137	91	117	101	206	100	88	78	79	76	63	94	120	126	98	74	132	141	197	281	411	793	2491	250519
CTR_5 - Adapter 1	16784693	4566580	1261866	302377	15440	17015	9188	8429	8369	7817	7027	11071	214	10048	185	9194	424	4858	11995	127	155	106	2657	6948	184	2322	2096	137	1989	1730	2798	102	2411	172	1499	1448	1270	1902	3430	106	130	813	746	1214	504	209	56	571	433	352	407	599	218	133	526	514	156	168	518	65	73	339	93	92	211	338	205	225	217	260	109	155	147	176	160	167	132	138	112	107	137	117	88	86	79	59	70	119	60	74	141	105	123	196	239	303	674	1266	6144	339722
CTR_6 - Adapter 1	14286274	3967964	1111921	264834	13412	19648	11391	10795	10063	9666	8418	13713	321	12585	227	11800	518	6115	14913	138	113	125	3168	8607	202	2689	2540	160	2295	2142	3312	105	3066	144	1554	1718	1582	1309	1510	1218	1846	359	964	1321	662	248	103	1011	595	327	585	685	225	169	962	438	152	119	465	66	85	408	107	80	162	388	178	184	242	229	80	133	177	213	174	196	154	139	103	131	143	121	98	91	73	86	47	92	63	77	84	64	104	117	196	260	474	1065	13812	504128
GEM_50_TAX_10_1 - Adapter 1	16955942	4681375	1288628	285794	15811	10469	3421	2796	3113	3298	2523	3285	65	2760	91	2501	213	1340	3218	79	178	71	670	1588	124	568	514	108	485	459	590	78	562	112	404	565	176	1031	156	58	186	147	278	345	183	106	68	199	141	144	168	243	119	117	297	182	109	84	186	52	53	228	79	62	108	199	88	115	122	98	54	74	82	145	113	126	97	72	80	72	71	92	67	60	59	55	47	63	40	43	41	29	36	27	48	52	121	94	531	44490
GEM_50_TAX_10_2 - Adapter 1	112055342	31757143	8680796	1920443	107637	87227	32643	27492	29306	27637	23007	31463	667	26557	620	23295	1779	12208	29275	616	989	489	6174	14896	797	5126	4389	635	4216	4042	5788	811	7477	744	2773	618	2827	4080	3681	1796	2483	2114	1974	2829	1381	771	401	1817	1328	1096	1426	2032	1037	812	2349	1674	890	713	1664	372	423	1845	636	480	1081	1741	907	1250	924	838	602	592	684	1067	929	905	830	656	670	652	1137	730	489	480	484	406	371	422	331	428	390	350	444	538	661	914	1300	2180	6937	458668
GEM_50_TAX_10_3 - Adapter 1	14046185	3961644	1099940	243402	13520	12085	4716	4083	4175	3911	3385	4918	97	4063	72	3701	208	1880	4460	79	107	69	977	2237	108	754	589	70	566	551	783	77	749	376	80	392	394	578	332	97	340	409	391	402	504	141	114	445	239	89	156	144	74	94	155	91	53	48	89	30	51	137	54	58	83	134	52	67	67	63	80	69	77	102	93	105	60	57	59	76	255	90	40	62	67	34	42	51	57	138	103	182	257	132	164	188	226	278	961	68399
GEM_50_TAX_10_5 - Adapter 1	13047502	3588719	974458	219179	12028	6619	1400	898	1372	1505	1095	1141	54	893	67	852	122	577	1265	45	113	59	319	694	92	267	253	67	248	240	298	114	250	157	85	234	221	175	186	212	224	110	222	204	155	78	66	240	120	77	129	169	75	91	234	112	52	44	116	40	50	152	46	50	75	148	52	85	62	68	68	60	71	100	94	81	77	70	68	58	234	55	43	63	72	42	32	42	25	45	40	38	72	61	71	81	142	198	587	25240
