Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
CTR_1 - Adapter 1	1.252135970925054	1.401407293924259	1.4973451865679717	1.3624494345618754	0.30350099888181375	0.8900533358285768	1.2583748175319087	4.148824674352448	17.87425149700599	72.13429256594723	230.09615384615384	1291.1538461538462	152.85714285714286	4410.0	125.71428571428572	3940.0000000000005	277.14285714285717	2157.1428571428573	5132.857142857143	152.85714285714286	234.2857142857143	60.00000000000001	1177.142857142857	3022.857142857143	157.14285714285714	974.2857142857143	960.0000000000001	130.0	872.8571428571429	814.2857142857143	1190.0	140.0	1088.5714285714287	1191.4285714285716	111.42857142857143	231.42857142857144	1544.2857142857144	107.14285714285715	474.28571428571433	128.57142857142858	495.7142857142857	498.5714285714286	534.2857142857143	605.7142857142858	478.5714285714286	180.0	142.85714285714286	945.7142857142858	800.0	135.71428571428572	210.0	177.14285714285717	95.71428571428572	92.85714285714286	158.57142857142858	137.14285714285714	71.42857142857143	104.28571428571429	74.28571428571429	58.57142857142858	71.42857142857143	142.85714285714286	91.42857142857143	102.85714285714286	74.28571428571429	161.42857142857144	64.28571428571429	82.85714285714286	80.0	81.42857142857143	81.42857142857143	64.28571428571429	55.714285714285715	118.57142857142858	82.85714285714286	101.42857142857143	130.0	87.14285714285715	81.42857142857143	91.42857142857143	114.28571428571429	135.71428571428572	74.28571428571429	71.42857142857143	62.85714285714286	54.28571428571429	60.00000000000001	71.42857142857143	31.42857142857143	70.0	64.28571428571429	78.57142857142857	70.0	85.71428571428572	107.14285714285715	162.85714285714286	184.2857142857143	394.28571428571433	1212.857142857143	70878.57142857143
CTR_2 - Adapter 1	1.2179576862422123	1.3780657743185585	1.4524413456628076	1.3615128338818898	0.290473890074956	1.2109375	2.461353058510638	8.515625	34.04255319148936	135.3191489361702	452.12765957446805	2752.916666666667	183.33333333333334	9985.0	231.66666666666669	8860.0	545.0	4586.666666666667	11623.333333333334	260.0	256.6666666666667	131.66666666666669	2563.3333333333335	6595.0	263.33333333333337	2125.0	2055.0	221.66666666666669	1841.6666666666667	1805.0	2573.3333333333335	313.33333333333337	2283.3333333333335	1225.0	255.0	1626.6666666666667	1020.0	1066.6666666666667	1173.3333333333335	846.6666666666667	821.6666666666667	983.3333333333334	860.0	1175.0	661.6666666666667	236.66666666666669	131.66666666666669	1120.0	460.0	283.33333333333337	591.6666666666667	626.6666666666667	195.0	266.6666666666667	906.6666666666667	381.6666666666667	176.66666666666669	111.66666666666667	390.0	61.66666666666667	81.66666666666667	418.33333333333337	136.66666666666669	136.66666666666669	181.66666666666669	385.0	115.0	210.0	168.33333333333334	180.0	91.66666666666667	130.0	178.33333333333334	325.0	191.66666666666669	210.0	218.33333333333334	141.66666666666669	130.0	120.0	181.66666666666669	165.0	115.0	100.0	103.33333333333334	76.66666666666667	70.0	140.0	61.66666666666667	98.33333333333334	131.66666666666669	106.66666666666667	118.33333333333334	160.0	196.66666666666669	326.6666666666667	571.6666666666667	938.3333333333334	4560.0	587678.3333333334
CTR_3 - Adapter 1	1.242770899598458	1.3840358881501538	1.5123893498164138	1.4168451544206957	0.3026099983211292	1.3154115568596254	2.6200512439044545	9.391634980988593	37.68518518518519	143.73015873015873	512.8421052631579	3179.166666666667	263.33333333333337	11863.333333333334	186.66666666666669	11255.0	591.6666666666667	5666.666666666667	14848.333333333334	123.33333333333334	168.33333333333334	218.33333333333334	3326.666666666667	8678.333333333334	285.0	2846.666666666667	2700.0	231.66666666666669	2641.666666666667	2263.3333333333335	3531.666666666667	293.33333333333337	3336.666666666667	218.33333333333334	2873.3333333333335	3181.666666666667	2700.0	6635.0	523.3333333333334	2745.0	365.0	1406.6666666666667	1308.3333333333335	1758.3333333333335	1031.6666666666667	381.6666666666667	333.33333333333337	3156.666666666667	1291.6666666666667	331.6666666666667	680.0	473.33333333333337	231.66666666666669	256.6666666666667	348.33333333333337	326.6666666666667	110.0	181.66666666666669	260.0	106.66666666666667	193.33333333333334	355.0	148.33333333333334	185.0	273.33333333333337	351.6666666666667	683.3333333333334	428.33333333333337	785.0	1650.0	276.6666666666667	201.66666666666669	283.33333333333337	273.33333333333337	315.0	300.0	261.6666666666667	233.33333333333334	235.0	328.33333333333337	425.0	335.0	206.66666666666669	195.0	200.0	158.33333333333334	135.0	201.66666666666669	156.66666666666669	176.66666666666669	228.33333333333334	213.33333333333334	396.6666666666667	411.6666666666667	620.0	826.6666666666667	1415.0	7605.0	36260.0	881803.3333333334
CTR_4 - Adapter 1	1.2178816113072528	1.3398184412796814	1.3939791147277791	1.3150805617110854	0.26616379574422205	1.2333601270413865	2.7556461731493096	10.111355081555834	39.04015056461731	150.82914572864323	530.0	3315.6	266.6666666666667	12851.666666666668	291.6666666666667	11826.666666666668	645.0	6145.0	15561.666666666668	198.33333333333334	218.33333333333334	180.0	3356.666666666667	9100.0	256.6666666666667	2858.3333333333335	2625.0	211.66666666666669	2498.3333333333335	2250.0	3403.3333333333335	261.6666666666667	3238.3333333333335	3273.3333333333335	151.66666666666669	188.33333333333334	1603.3333333333335	1786.6666666666667	2268.3333333333335	1433.3333333333335	2135.0	256.6666666666667	1058.3333333333335	1613.3333333333335	620.0	298.33333333333337	73.33333333333334	733.3333333333334	578.3333333333334	421.6666666666667	496.6666666666667	815.0	333.33333333333337	183.33333333333334	810.0	708.3333333333334	283.33333333333337	258.33333333333337	686.6666666666667	101.66666666666667	108.33333333333334	611.6666666666667	175.0	96.66666666666667	253.33333333333334	486.6666666666667	218.33333333333334	345.0	236.66666666666669	185.0	146.66666666666669	183.33333333333334	201.66666666666669	306.6666666666667	236.66666666666669	273.33333333333337	228.33333333333334	151.66666666666669	195.0	168.33333333333334	343.33333333333337	166.66666666666669	146.66666666666669	130.0	131.66666666666669	126.66666666666667	105.0	156.66666666666669	200.0	210.0	163.33333333333334	123.33333333333334	220.0	235.0	328.33333333333337	468.33333333333337	685.0	1321.6666666666667	4151.666666666667	417531.6666666667
CTR_5 - Adapter 1	1.2782326178412475	1.391065431446167	1.5375516191516418	1.4737545485649783	0.3010122120498464	1.3268711886083255	2.8659658754171993	10.516531503431066	41.76147704590818	156.02794411177643	562.16	3571.290322580645	267.5	12560.0	231.25	11492.5	530.0	6072.5	14993.75	158.75	193.75	132.5	3321.25	8685.0	230.0	2902.5	2620.0	171.25	2486.25	2162.5	3497.5	127.5	3013.75	215.0	1873.75	1810.0	1587.5	2377.5	4287.5	132.5	162.5	1016.25	932.5	1517.5	630.0	261.25	70.0	713.75	541.25	440.0	508.75	748.75	272.5	166.25	657.5	642.5	195.0	210.0	647.5	81.25	91.25	423.75	116.25	115.0	263.75	422.5	256.25	281.25	271.25	325.0	136.25	193.75	183.75	220.0	200.0	208.75	165.0	172.5	140.0	133.75	171.25	146.25	110.0	107.5	98.75	73.75	87.5	148.75	75.0	92.5	176.25	131.25	153.75	245.0	298.75	378.75	842.5	1582.5	7680.0	424652.5
CTR_6 - Adapter 1	1.2421024846181261	1.3799589333293643	1.5467936945316123	1.4736422725231604	0.2985187575814906	1.7492721752833396	4.056623931623932	15.377492877492877	57.33903133903134	220.18223234624148	765.2727272727273	5078.888888888889	458.5714285714286	17978.57142857143	324.28571428571433	16857.14285714286	740.0	8735.714285714286	21304.285714285717	197.14285714285717	161.42857142857144	178.57142857142858	4525.714285714286	12295.714285714286	288.5714285714286	3841.4285714285716	3628.571428571429	228.57142857142858	3278.571428571429	3060.0	4731.428571428572	150.0	4380.0	205.71428571428572	2220.0	2454.285714285714	2260.0	1870.0000000000002	2157.1428571428573	1740.0	2637.1428571428573	512.8571428571429	1377.1428571428573	1887.1428571428573	945.7142857142858	354.28571428571433	147.14285714285714	1444.2857142857144	850.0	467.14285714285717	835.7142857142858	978.5714285714287	321.42857142857144	241.42857142857144	1374.2857142857144	625.7142857142858	217.14285714285717	170.0	664.2857142857143	94.28571428571429	121.42857142857143	582.8571428571429	152.85714285714286	114.28571428571429	231.42857142857144	554.2857142857143	254.2857142857143	262.8571428571429	345.7142857142857	327.14285714285717	114.28571428571429	190.0	252.85714285714286	304.2857142857143	248.57142857142858	280.0	220.0	198.57142857142858	147.14285714285714	187.14285714285717	204.2857142857143	172.85714285714286	140.0	130.0	104.28571428571429	122.85714285714286	67.14285714285715	131.42857142857144	90.0	110.0	120.00000000000001	91.42857142857143	148.57142857142858	167.14285714285717	280.0	371.42857142857144	677.1428571428572	1521.4285714285716	19731.428571428572	720182.8571428572
GEM_50_TAX_10_1 - Adapter 1	1.2729021830632383	1.4057449494077456	1.5478206243877948	1.3731124712267322	0.3038590152592536	0.8047814890264058	1.051935672334799	3.4391143911439115	15.312346286276439	64.92125984251969	198.66141732283467	1026.5625	81.25	3450.0	113.75	3126.25	266.25	1675.0	4022.5	98.75	222.5	88.75	837.5	1985.0	155.0	710.0	642.5	135.0	606.25	573.75	737.5	97.5	702.5	140.0	505.0	706.25	220.0	1288.75	195.0	72.5	232.5	183.75	347.5	431.25	228.75	132.5	85.0	248.75	176.25	180.0	210.0	303.75	148.75	146.25	371.25	227.5	136.25	105.0	232.5	65.0	66.25	285.0	98.75	77.5	135.0	248.75	110.0	143.75	152.5	122.5	67.5	92.5	102.5	181.25	141.25	157.5	121.25	90.0	100.0	90.0	88.75	115.0	83.75	75.0	73.75	68.75	58.75	78.75	50.0	53.75	51.25	36.25	45.0	33.75	60.0	65.0	151.25	117.5	663.75	55612.5
GEM_50_TAX_10_2 - Adapter 1	1.2446128092231532	1.4109223639166686	1.5426991154924645	1.365158597324551	0.3060576885346867	0.9920930095015821	1.4850890562089125	5.003002675110553	21.332071626146455	80.48048922539313	267.8346915017462	1463.3953488372092	123.5185185185185	4917.962962962963	114.81481481481481	4313.888888888889	329.4444444444444	2260.7407407407404	5421.296296296296	114.07407407407406	183.14814814814812	90.55555555555554	1143.3333333333333	2758.5185185185182	147.59259259259258	949.2592592592592	812.7777777777777	117.59259259259258	780.7407407407406	748.5185185185185	1071.8518518518517	150.18518518518516	1384.6296296296296	137.77777777777777	513.5185185185185	114.44444444444444	523.5185185185185	755.5555555555555	681.6666666666666	332.59259259259255	459.8148148148148	391.48148148148147	365.55555555555554	523.8888888888888	255.74074074074073	142.77777777777777	74.25925925925925	336.48148148148147	245.92592592592592	202.96296296296296	264.0740740740741	376.29629629629625	192.03703703703704	150.37037037037035	434.99999999999994	310.0	164.8148148148148	132.03703703703704	308.14814814814815	68.88888888888889	78.33333333333333	341.66666666666663	117.77777777777777	88.88888888888889	200.18518518518516	322.4074074074074	167.96296296296296	231.48148148148147	171.1111111111111	155.18518518518516	111.48148148148148	109.62962962962962	126.66666666666666	197.59259259259258	172.03703703703704	167.59259259259258	153.7037037037037	121.48148148148147	124.07407407407406	120.74074074074073	210.55555555555554	135.1851851851852	90.55555555555554	88.88888888888889	89.62962962962962	75.18518518518518	68.7037037037037	78.14814814814814	61.29629629629629	79.25925925925925	72.22222222222221	64.81481481481481	82.22222222222221	99.62962962962962	122.4074074074074	169.25925925925924	240.74074074074073	403.7037037037037	1284.6296296296296	84938.51851851851
GEM_50_TAX_10_3 - Adapter 1	1.2493616073975464	1.409500445516169	1.565376313511315	1.3855875036290253	0.30785485281259106	1.1007177207811134	1.7181579714368989	5.950160303118624	24.34402332361516	91.16550116550117	316.3551401869159	1821.4814814814813	138.57142857142858	5804.285714285715	102.85714285714286	5287.142857142858	297.14285714285717	2685.714285714286	6371.428571428572	112.85714285714286	152.85714285714286	98.57142857142858	1395.7142857142858	3195.714285714286	154.2857142857143	1077.142857142857	841.4285714285714	100.0	808.5714285714287	787.1428571428572	1118.5714285714287	110.0	1070.0	537.1428571428572	114.28571428571429	560.0	562.8571428571429	825.7142857142858	474.28571428571433	138.57142857142858	485.7142857142857	584.2857142857143	558.5714285714286	574.2857142857143	720.0	201.42857142857144	162.85714285714286	635.7142857142858	341.42857142857144	127.14285714285715	222.85714285714286	205.71428571428572	105.71428571428572	134.2857142857143	221.42857142857144	130.0	75.71428571428572	68.57142857142857	127.14285714285715	42.85714285714286	72.85714285714286	195.71428571428572	77.14285714285715	82.85714285714286	118.57142857142858	191.42857142857144	74.28571428571429	95.71428571428572	95.71428571428572	90.0	114.28571428571429	98.57142857142858	110.0	145.71428571428572	132.85714285714286	150.0	85.71428571428572	81.42857142857143	84.28571428571429	108.57142857142858	364.28571428571433	128.57142857142858	57.142857142857146	88.57142857142858	95.71428571428572	48.57142857142858	60.00000000000001	72.85714285714286	81.42857142857143	197.14285714285717	147.14285714285714	260.0	367.14285714285717	188.57142857142858	234.2857142857143	268.5714285714286	322.8571428571429	397.14285714285717	1372.857142857143	97712.85714285714
GEM_50_TAX_10_5 - Adapter 1	1.2787849573787091	1.4069205840326278	1.5281051745486525	1.3748301683701056	0.30178945995042106	0.6642981161994801	0.5620232838217584	1.4421069535892082	8.811817597944767	38.688946015424165	112.88659793814433	475.4166666666667	90.0	1488.3333333333335	111.66666666666667	1420.0	203.33333333333334	961.6666666666667	2108.3333333333335	75.0	188.33333333333334	98.33333333333334	531.6666666666667	1156.6666666666667	153.33333333333334	445.0	421.6666666666667	111.66666666666667	413.33333333333337	400.0	496.6666666666667	190.0	416.6666666666667	261.6666666666667	141.66666666666669	390.0	368.33333333333337	291.6666666666667	310.0	353.33333333333337	373.33333333333337	183.33333333333334	370.0	340.0	258.33333333333337	130.0	110.0	400.0	200.0	128.33333333333334	215.0	281.6666666666667	125.0	151.66666666666669	390.0	186.66666666666669	86.66666666666667	73.33333333333334	193.33333333333334	66.66666666666667	83.33333333333334	253.33333333333334	76.66666666666667	83.33333333333334	125.0	246.66666666666669	86.66666666666667	141.66666666666669	103.33333333333334	113.33333333333334	113.33333333333334	100.0	118.33333333333334	166.66666666666669	156.66666666666669	135.0	128.33333333333334	116.66666666666667	113.33333333333334	96.66666666666667	390.0	91.66666666666667	71.66666666666667	105.0	120.0	70.0	53.333333333333336	70.0	41.66666666666667	75.0	66.66666666666667	63.333333333333336	120.0	101.66666666666667	118.33333333333334	135.0	236.66666666666669	330.0	978.3333333333334	42066.66666666667
