Sample	Top over-represented sequence	Sum of remaining over-represented sequences
CTR_1	0.4019684186262742	0.45002018910838415
CTR_2	0.4207007971947615	1.2155151316960997
CTR_3	0.2871597508517063	0.2196613838746504
CTR_4	0.3512545921428719	0.6431492315136407
CTR_5	0.3232288476533162	0.37666587488632414
CTR_6	0.2719675110257946	0.26872464643267197
GEM_50_TAX_10_1	0.29461198427100616	0.5159903279073967
GEM_50_TAX_10_2	0.2645018780412992	0.5492243546016374
GEM_50_TAX_10_3	0.30683792478085403	0.13457651328363707
GEM_50_TAX_10_5	0.4029605164355866	0.2616352562720854
GEM_50_TAX_10_6	0.3575634773953341	0.42403204690608176
SIM_1	0.32623072417700166	0.7545226420831599
SIM_2	0.24470249536053548	0.4573058490292331
SIM_3	0.36727104762169815	0.5898282025168284
SIM_4	0.2754094914143233	0.22059259437919126
SIM_5	0.31682356434319653	0.12797071662920084
SIM_6	0.35099739800524443	0.314973835332954
VPA_1	0.33051309128721573	1.2301268775719159
VPA_2	0.3584407685591982	1.0295328971813926
VPA_3	0.3140006269657994	1.023502849782888
VPA_4	0.24803967296660273	0.25478596338301535
VPA_5	0.44329512212761824	0.656804661296077
VPA_6	0.47009070335385067	0.39178654288906783
VPA_SIM_1	0.26374797146683093	0.12648967964063723
VPA_SIM_2	0.17027022655843851	0.0
VPA_SIM_3	0.3345357099451231	0.3453006914778591
VPA_SIM_5	0.3684620098144563	0.8496627200501315
VPA_SIM_6	0.3499625898750963	0.5811525607702834
VS_GEM_50_TAX_10_1	0.1623234507509155	0.6000478370061098
VS_GEM_50_TAX_10_2	0.18828728064611483	0.28903793199623784
VS_GEM_50_TAX_10_3	0.29934109721860497	0.31413319182079963
VS_GEM_50_TAX_10_4	0.2681215910210486	0.3695093088200764
VS_GEM_50_TAX_10_5	0.23342357981084605	0.3311249584279693
VS_GEM_50_TAX_10_6	0.2775576644211586	0.6824236345554523
