Sample	Unique Reads	Duplicate Reads
CTR_1	26687547.0	17034047.0
CTR_2	23700243.0	15368378.0
CTR_3	25430918.0	13651509.0
CTR_4	23602055.0	17925943.0
CTR_5	32263268.0	19910293.0
CTR_6	29136106.0	16348371.0
GEM_50_TAX_10_1	33769567.0	19466896.0
GEM_50_TAX_10_2	155446663.0	204201445.0
GEM_50_TAX_10_3	29249247.0	15649375.0
GEM_50_TAX_10_5	26677981.0	14106660.0
GEM_50_TAX_10_6	30905172.0	19914336.0
SIM_1	33228866.0	21113042.0
SIM_2	32390495.0	19517435.0
SIM_3	30894470.0	17325503.0
SIM_4	30825258.0	14533019.0
SIM_5	27891690.0	13210682.0
SIM_6	30446090.0	16575911.0
VPA_1	24516312.0	14799226.0
VPA_2	24306268.0	15416892.0
VPA_3	31215277.0	21128886.0
VPA_4	31981240.0	18238952.0
VPA_5	23773351.0	14540628.0
VPA_6	27364501.0	18544937.0
VPA_SIM_1	32181021.0	15996032.0
VPA_SIM_2	30710788.0	24874385.0
VPA_SIM_3	29992781.0	15302234.0
VPA_SIM_5	32394553.0	20534920.0
VPA_SIM_6	32288711.0	18787034.0
VS_GEM_50_TAX_10_1	31570645.0	21660111.0
VS_GEM_50_TAX_10_2	33484331.0	22365432.0
VS_GEM_50_TAX_10_3	31591791.0	17447917.0
VS_GEM_50_TAX_10_4	33244576.0	19880202.0
VS_GEM_50_TAX_10_5	30998557.0	17372306.0
VS_GEM_50_TAX_10_6	33691428.0	20303478.0
