Sample	Unique Reads	Duplicate Reads
CTR_1	26683692.0	17090078.0
CTR_2	23688539.0	15738108.0
CTR_3	25411930.0	14233736.0
CTR_4	23590027.0	18194977.0
CTR_5	32242139.0	20282551.0
CTR_6	29115877.0	16890871.0
GEM_50_TAX_10_1	33758663.0	19524118.0
GEM_50_TAX_10_2	155371611.0	204757551.0
GEM_50_TAX_10_3	29245435.0	15725324.0
GEM_50_TAX_10_5	26675530.0	14136655.0
GEM_50_TAX_10_6	30894690.0	19989054.0
SIM_1	33219689.0	21157356.0
SIM_2	32378073.0	19648441.0
SIM_3	30887047.0	17365128.0
SIM_4	30821185.0	14557815.0
SIM_5	27885725.0	13250895.0
SIM_6	30438907.0	16599647.0
VPA_1	24499708.0	15246997.0
VPA_2	24277012.0	16167801.0
VPA_3	31165028.0	23003357.0
VPA_4	31966530.0	18675456.0
VPA_5	23762950.0	14838816.0
VPA_6	27357865.0	18676409.0
VPA_SIM_1	32176854.0	16016656.0
VPA_SIM_2	30695827.0	24988385.0
VPA_SIM_3	29986619.0	15333816.0
VPA_SIM_5	32384639.0	20595408.0
VPA_SIM_6	32283940.0	18815265.0
VS_GEM_50_TAX_10_1	31552347.0	21871595.0
VS_GEM_50_TAX_10_2	33466184.0	22662607.0
VS_GEM_50_TAX_10_3	31586530.0	17494962.0
VS_GEM_50_TAX_10_4	33231709.0	19982867.0
VS_GEM_50_TAX_10_5	30986019.0	17507073.0
VS_GEM_50_TAX_10_6	33666880.0	20565133.0
