Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0
CTR_1										7.530090829392651	2.034546126232732	3.444886171525105	1.2345895296644585	2.7787453174806314	1.277643602679356	3.7759198921350245																																																																																																																																																																																																																																																																																																									
CTR_2										6.9143954788616	2.1840187221033323	3.854060516528224	1.4040366402370992	3.172930445333808	1.4212171996056675	4.9907818033358575																																																																																																																																																																																																																																																																																																									
CTR_3										5.570273716604069	1.5649639132667832	3.1221275269491406	1.3050052831578955	2.7231853813070823	1.2414230628506784	3.34334915575261																																																																																																																																																																																																																																																																																																									
CTR_4										6.782138264932261	2.255950968468129	4.709359537868426	2.2489488866214424	5.261503414199411	2.095653729298324	5.015533372225936																																																																																																																																																																																																																																																																																																									
CTR_5										7.346466041175867	1.8627302143222038	3.188259774745113	0.9876518303801086	2.133941450776675	0.921082545335895	3.7550189139882866																																																																																																																																																																																																																																																																																																									
CTR_6										5.841491163517719	1.4946946487675286	2.858932708921645	1.109244852104269	2.9590993721794865	1.0810369185967854	3.6883692792110145																																																																																																																																																																																																																																																																																																									
GEM_50_TAX_10_1										7.119842030423554	1.712090003500465	2.8288091514515763	0.9786874509364342	2.3353631425623753	1.1589761113575396	3.236397639050085																																																																																																																																																																																																																																																																																																									
GEM_50_TAX_10_2										14.131223926873393	3.3340716053304145	5.063279983827723	1.5469705915660892	2.7062356353519035	1.1449045581918293	7.078327081143156																																																																																																																																																																																																																																																																																																									
GEM_50_TAX_10_3										6.148018746886947	1.5551354300281628	2.7327209437574123	1.1794997731823036	2.8305653504956907	1.3703085148111112	2.67642301030356																																																																																																																																																																																																																																																																																																									
GEM_50_TAX_10_5										6.617155679205842	1.655110129190767	2.6662238431589795	0.9507103362366938	2.121953777314394	1.0465621466839437	2.632889382492802																																																																																																																																																																																																																																																																																																									
GEM_50_TAX_10_6										7.263477794568425	2.001653249865436	3.535857143508938	1.3237235903813407	3.2243144092836946	1.4055082543545396	3.826199405238579																																																																																																																																																																																																																																																																																																									
SIM_1										6.9482572671898515	1.8355069198780196	3.5187319777627026	1.2046116365402164	3.058555045807212	1.442076702976031	3.856564547341399																																																																																																																																																																																																																																																																																																									
SIM_2										5.9879186362944665	1.710037740247606	3.280303997828319	1.2540884218272401	3.4843336141154806	1.6841389898971784	3.8376309996721147																																																																																																																																																																																																																																																																																																									
SIM_3										6.8616047068929475	1.6338258831623782	2.8121898249079873	0.8523620979643429	2.0982100757999884	1.1479690985827324	3.815550533056523																																																																																																																																																																																																																																																																																																									
