Sample	pseudogene	lincRNA	protein_coding	antisense	processed_transcript	snRNA	sense_intronic	miRNA	misc_RNA	snoRNA	rRNA	3prime_overlapping_ncrna	polymorphic_pseudogene	sense_overlapping	IG_V_pseudogene	TR_V_gene	TR_V_pseudogene	TR_J_gene	TR_C_gene	TR_J_pseudogene	IG_C_gene	IG_C_pseudogene	IG_J_gene	IG_D_gene	IG_V_gene	Mt_tRNA	Mt_rRNA
CTR_1	129196.0	827299.0	16711572.0	737792.0	125020.0	5224.0	34798.0	111839.0	686757.0	18799.0	24940.0	90.0	1423.0	8690.0	91.0	0.0	1.0	0.0	2.0	0.0	1.0	6.0	0.0	0.0	26.0	30274.0	2269.0
CTR_2	116984.0	678619.0	14477981.0	775114.0	138452.0	8062.0	33624.0	73700.0	691874.0	23332.0	16914.0	82.0	1316.0	6977.0	74.0	5.0	0.0	2.0	5.0	0.0	2.0	5.0	0.0	0.0	11.0	31729.0	1444.0
CTR_3	135741.0	806178.0	12319638.0	557886.0	128837.0	7901.0	34495.0	114565.0	458891.0	21207.0	23088.0	81.0	1149.0	7584.0	136.0	14.0	2.0	2.0	3.0	0.0	1.0	6.0	0.0	0.0	37.0	20656.0	18623.0
CTR_4	187762.0	640201.0	13912066.0	671103.0	126496.0	7165.0	32850.0	235144.0	580756.0	24038.0	35549.0	62.0	1323.0	7223.0	55.0	6.0	3.0	2.0	1.0	0.0	3.0	0.0	3.0	0.0	14.0	22787.0	78540.0
CTR_5	152453.0	858496.0	19155993.0	809095.0	139883.0	10462.0	44895.0	60637.0	704437.0	27496.0	21956.0	84.0	1662.0	10535.0	111.0	6.0	0.0	1.0	3.0	0.0	3.0	5.0	0.0	0.0	50.0	34048.0	930.0
CTR_6	136669.0	918859.0	14267180.0	675517.0	159918.0	10896.0	41406.0	75832.0	534924.0	28650.0	21032.0	80.0	1331.0	8524.0	128.0	7.0	0.0	2.0	2.0	0.0	1.0	8.0	0.0	0.0	40.0	25547.0	984.0
GEM_50_TAX_10_1	159568.0	886961.0	19066300.0	841379.0	149338.0	6211.0	41462.0	64158.0	639193.0	17983.0	13934.0	113.0	1572.0	10994.0	76.0	10.0	7.0	2.0	1.0	0.0	2.0	4.0	1.0	0.0	23.0	36578.0	923.0
GEM_50_TAX_10_2	1076879.0	6609545.0	121321703.0	6190399.0	1103629.0	58714.0	292731.0	606764.0	4399504.0	164571.0	168790.0	698.0	10475.0	68651.0	724.0	50.0	21.0	17.0	20.0	0.0	12.0	49.0	1.0	0.0	185.0	242331.0	10265.0
GEM_50_TAX_10_3	134963.0	769339.0	14823257.0	640912.0	161171.0	5813.0	36009.0	90631.0	523923.0	16375.0	19899.0	68.0	1124.0	8628.0	89.0	3.0	4.0	6.0	8.0	0.0	5.0	12.0	0.0	0.0	96.0	24511.0	1197.0
GEM_50_TAX_10_5	121484.0	670007.0	15317527.0	689944.0	128467.0	4690.0	33032.0	61003.0	598007.0	15218.0	13624.0	67.0	1080.0	8390.0	72.0	7.0	2.0	2.0	1.0	0.0	1.0	2.0	0.0	0.0	27.0	24889.0	1102.0
GEM_50_TAX_10_6	148229.0	793746.0	18071842.0	794585.0	186222.0	6464.0	41611.0	134786.0	708176.0	21839.0	28694.0	95.0	1448.0	10179.0	78.0	6.0	0.0	2.0	8.0	1.0	5.0	4.0	0.0	0.0	16.0	30602.0	2075.0
SIM_1	160607.0	1101836.0	18119350.0	771478.0	149005.0	7743.0	45244.0	137013.0	729226.0	26861.0	23800.0	95.0	1406.0	10454.0	108.0	5.0	2.0	1.0	5.0	0.0	3.0	6.0	0.0	0.0	22.0	33177.0	2232.0
SIM_2	155300.0	1062180.0	15940379.0	837859.0	195713.0	7891.0	46247.0	131379.0	583128.0	26909.0	35316.0	119.0	1499.0	9977.0	129.0	6.0	0.0	1.0	1.0	0.0	0.0	8.0	0.0	0.0	40.0	39688.0	1688.0
SIM_3	141470.0	865438.0	17371377.0	854208.0	125164.0	6877.0	42576.0	56407.0	702993.0	23719.0	18301.0	102.0	1296.0	10004.0	97.0	4.0	6.0	3.0	6.0	0.0	2.0	12.0	0.0	0.0	26.0	22999.0	806.0
SIM_4	139157.0	893235.0	14208596.0	623834.0	140038.0	5722.0	39236.0	66329.0	507320.0	18866.0	16769.0	109.0	1291.0	8631.0	142.0	3.0	0.0	2.0	2.0	0.0	0.0	5.0	0.0	0.0	31.0	21725.0	829.0
SIM_5	122057.0	692852.0	13991687.0	579408.0	121636.0	5118.0	35116.0	46927.0	506473.0	15468.0	10124.0	83.0	1108.0	9056.0	96.0	7.0	1.0	0.0	3.0	0.0	0.0	2.0	0.0	0.0	22.0	21950.0	767.0
SIM_6	141369.0	627258.0	16813807.0	727890.0	111621.0	4444.0	35037.0	68097.0	618566.0	15397.0	16708.0	78.0	2432.0	9281.0	78.0	2.0	2.0	1.0	5.0	0.0	0.0	6.0	0.0	0.0	26.0	28638.0	714.0
VPA_1	124501.0	613134.0	15347447.0	718751.0	100930.0	12752.0	33932.0	51148.0	596743.0	29019.0	25349.0	66.0	1513.0	7592.0	29.0	4.0	1.0	2.0	2.0	0.0	7.0	8.0	0.0	0.0	16.0	24932.0	1364.0
VPA_2	114755.0	763537.0	13975897.0	752834.0	129733.0	14041.0	38690.0	87000.0	642144.0	34473.0	32284.0	77.0	1181.0	7249.0	84.0	6.0	0.0	1.0	6.0	0.0	3.0	5.0	0.0	0.0	23.0	26881.0	1697.0
VPA_3	155090.0	1040669.0	18292429.0	931556.0	163934.0	22912.0	53104.0	85547.0	763993.0	50823.0	46857.0	119.0	1458.0	10293.0	80.0	13.0	3.0	0.0	3.0	0.0	2.0	10.0	0.0	0.0	43.0	26799.0	1841.0
VPA_4	153914.0	1063427.0	16299433.0	636633.0	175298.0	12144.0	42341.0	92422.0	512343.0	24183.0	20851.0	113.0	1451.0	9900.0	167.0	5.0	0.0	0.0	1.0	0.0	3.0	6.0	0.0	0.0	38.0	26566.0	2103.0
VPA_5	110796.0	607644.0	14960318.0	600557.0	107654.0	6778.0	33703.0	34110.0	662332.0	18577.0	6397.0	63.0	1192.0	7605.0	83.0	7.0	2.0	0.0	2.0	0.0	1.0	1.0	0.0	0.0	21.0	23089.0	1081.0
VPA_6	135401.0	901745.0	15955515.0	697627.0	169222.0	5069.0	38521.0	116256.0	833764.0	19536.0	24665.0	95.0	1356.0	8408.0	122.0	8.0	2.0	3.0	0.0	1.0	2.0	7.0	0.0	1.0	34.0	30820.0	2465.0
VPA_SIM_1	149273.0	886099.0	15211064.0	645504.0	182842.0	5106.0	38437.0	92329.0	506363.0	15402.0	18920.0	122.0	1431.0	9786.0	112.0	10.0	1.0	3.0	6.0	1.0	11.0	8.0	0.0	0.0	46.0	26573.0	1254.0
VPA_SIM_2	192103.0	898736.0	13534060.0	365361.0	320265.0	5558.0	35210.0	158034.0	242923.0	11273.0	1962.0	117.0	1306.0	9454.0	195.0	7.0	0.0	7.0	11.0	1.0	0.0	16.0	0.0	0.0	47.0	43418.0	15340.0
VPA_SIM_3	139816.0	879707.0	15057374.0	645216.0	146257.0	5209.0	39591.0	62101.0	555351.0	18149.0	11910.0	102.0	1460.0	9048.0	125.0	5.0	3.0	5.0	1.0	0.0	0.0	5.0	0.0	0.0	36.0	25063.0	1140.0
VPA_SIM_5	156882.0	880878.0	18518608.0	856369.0	159014.0	6343.0	44531.0	96832.0	763296.0	26476.0	20364.0	98.0	1523.0	10083.0	78.0	7.0	2.0	3.0	4.0	0.0	0.0	6.0	0.0	0.0	33.0	27051.0	1749.0
VPA_SIM_6	149199.0	852734.0	17487796.0	823573.0	138148.0	5762.0	42675.0	75151.0	684765.0	20453.0	14076.0	88.0	1518.0	10317.0	99.0	1.0	0.0	0.0	2.0	0.0	0.0	14.0	0.0	0.0	41.0	28747.0	764.0
VS_GEM_50_TAX_10_1	163791.0	839064.0	14990356.0	712112.0	337589.0	7190.0	42195.0	182193.0	423009.0	15147.0	2364.0	123.0	1643.0	9270.0	122.0	13.0	1.0	2.0	2.0	1.0	1.0	14.0	0.0	0.0	54.0	47902.0	1083.0
VS_GEM_50_TAX_10_2	178427.0	814518.0	17552741.0	690983.0	209813.0	7181.0	40756.0	68703.0	479181.0	14026.0	1335.0	105.0	1572.0	9731.0	84.0	9.0	2.0	4.0	4.0	0.0	4.0	7.0	0.0	0.0	49.0	36321.0	780.0
VS_GEM_50_TAX_10_3	149883.0	711975.0	17801091.0	780454.0	132926.0	6109.0	38418.0	61243.0	577962.0	19234.0	14684.0	83.0	2915.0	9876.0	66.0	2.0	2.0	0.0	2.0	0.0	5.0	11.0	0.0	0.0	27.0	27789.0	988.0
VS_GEM_50_TAX_10_4	158032.0	951780.0	17071756.0	846555.0	200879.0	8536.0	43529.0	158291.0	613778.0	24505.0	52289.0	89.0	1404.0	9470.0	125.0	17.0	2.0	0.0	4.0	0.0	4.0	8.0	1.0	0.0	45.0	29041.0	1233.0
VS_GEM_50_TAX_10_5	153590.0	921105.0	14480430.0	753212.0	230875.0	7317.0	41243.0	130410.0	506925.0	21030.0	36065.0	105.0	1303.0	9292.0	135.0	7.0	5.0	2.0	3.0	0.0	4.0	7.0	1.0	0.0	44.0	26286.0	1524.0
VS_GEM_50_TAX_10_6	163616.0	851586.0	18995278.0	855279.0	177355.0	10316.0	44664.0	93323.0	647663.0	29659.0	51389.0	104.0	1432.0	9755.0	72.0	8.0	2.0	3.0	3.0	0.0	5.0	4.0	0.0	0.0	43.0	28352.0	1160.0
