Sample	Unique Unpaired	Duplicate Unpaired
CTR_1	21471055.0	18451855.0
CTR_2	18872650.0	16166844.0
CTR_3	21165321.0	14800625.0
CTR_4	18783667.0	18250715.0
CTR_5	25633706.0	22362037.0
CTR_6	24094837.0	17115099.0
GEM_50_TAX_10_1	26232445.0	20967848.0
GEM_50_TAX_10_2	104776556.0	214560645.0
GEM_50_TAX_10_3	23165779.0	16241567.0
GEM_50_TAX_10_5	21551434.0	15554378.0
GEM_50_TAX_10_6	24480005.0	20692961.0
SIM_1	26823439.0	22071792.0
SIM_2	26731922.0	19556031.0
SIM_3	25262446.0	19518801.0
SIM_4	25457382.0	16051377.0
SIM_5	23267470.0	14874062.0
SIM_6	23502055.0	17863545.0
VPA_1	18601049.0	16321913.0
VPA_2	19618758.0	16088162.0
VPA_3	24756727.0	22587389.0
VPA_4	26328249.0	19880707.0
VPA_5	19257574.0	16266519.0
VPA_6	22013774.0	19306076.0
VPA_SIM_1	26164435.0	16674332.0
VPA_SIM_2	22643390.0	20284801.0
VPA_SIM_3	25105831.0	16904558.0
VPA_SIM_5	25722580.0	21710272.0
VPA_SIM_6	26008436.0	20268258.0
VS_GEM_50_TAX_10_1	25186370.0	18772747.0
VS_GEM_50_TAX_10_2	25311132.0	21174455.0
VS_GEM_50_TAX_10_3	24465018.0	19097717.0
VS_GEM_50_TAX_10_4	25957164.0	20365104.0
VS_GEM_50_TAX_10_5	25119543.0	17277493.0
VS_GEM_50_TAX_10_6	26258041.0	21392845.0
