Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99
CTR_1	27140.20488122907	28465.577835753997	29351.544017070883	30510.51522453417	33361.41400096957	35643.46866777245	38399.62202595447	41224.337060615086	43380.60412043166	45153.18116593055	47032.19349471307	48776.463423075686	50283.37908496841	51924.66004962192	53186.45982119768	54618.796406198424	56372.47405153089	58273.13805775737	59375.338358306086	60422.348464355244	61431.39957169324	62319.82322339684	63206.2739227563	64277.276903058075	64662.22976826994	65341.976046300566	65652.73909293186	65618.10223928443	65657.40093522207	65487.23192884045	65492.27767065212	65121.63368693579	65344.07601856616	65910.00235939371	66723.891386506	67323.97447157647	67615.00088004801	68095.23738929056	68118.63447996198	67438.76010465181	66907.19973563799	66158.24216830415	66189.69363824093	66231.00992388494	66134.56796781922	66238.21764988649	66456.80243437627	69032.32812376574	69977.84608679768	69753.62769417922	70085.86139200705	71228.86038223904	71454.45749177599	71400.36840773845	71681.9995375099	71669.34297458119	71573.8487378377	71720.12028546928	71998.6733138975	72977.6874311738	73513.15761008621	73561.5019044102	74424.59004906565	75935.1888196898	76126.87066021244	76504.1807223447	77019.89463675307	77693.25400552245	78082.52816755178	78224.82499463153	78248.49265004888	76378.05684406836	74263.42268268131	74437.80460653009	74050.3415300123	73393.50925573008	72954.52389587385	72806.04380601701	72608.00665024474	72483.39220669621	72575.67991385543	72325.20808936728	72032.49071569904	71574.42104305481	70901.67742738238	70088.44883690796	68853.22624439112	67200.51445212358	65115.95753158433	62884.71495221688	59980.313612756436	56145.543781628745	51148.59034859774	45728.147946941215	40554.32914516998	33801.237098359925	25848.973750054614	18218.594663972395	10708.858828825165	3341.7214112091747
CTR_2	24603.85565277678	26119.72030485726	27075.391031551677	28239.896496118505	31237.716976078234	33566.81076587442	36325.27796821616	39217.404602333234	41283.75183039716	43048.10492587909	44781.173351629994	46351.44497952389	47727.92017740783	49268.87968530524	50503.78433477623	51816.93102061757	53406.71499822056	55154.15527966999	56002.0476647842	56833.61698472034	57695.210719403716	58475.53565575644	59262.80369943489	60202.18063468715	60365.910770222836	60688.09350633269	60792.52661656638	60730.612897457395	60707.93573409268	60568.5146882722	60617.45543517899	60232.00373296592	60424.70633741002	60914.50854602176	61548.49744470097	62144.526431711725	62358.03115408816	62716.678891040225	62646.26929702779	61946.75589535609	61276.86127361849	60453.9955585447	60403.71447266495	60376.94875603998	60397.53008874473	60379.92353797356	60626.04955733302	63012.08708058983	63855.26281390716	63869.246912712086	64213.43019593929	65389.3477858798	65558.88083463939	65478.69797582621	65751.49185446958	65713.33388998323	65493.509532555385	65491.57236467529	65771.58618270709	66855.63527939895	67661.17194924937	67864.03865039552	68846.87020281664	70615.46752680077	70865.88591017798	71367.44061839442	71998.02069540364	72645.38071267481	73030.44955042595	73202.73332166609	73222.71069560769	71503.54667125881	69645.92485405193	69842.67244306348	69413.6705189878	68812.9836744879	68397.83812112865	68277.07579620629	68119.86002648619	67981.11232937696	68097.01679531825	67853.71036055702	67471.72862929532	67065.31770297648	66333.27940056134	65521.53621712535	64315.29435457066	62755.97518225874	60693.809363471664	58529.68985779959	55820.34538224815	52216.15231845071	47430.73102001242	42251.22123083887	37431.46514314318	30850.450397875393	23306.686437299937	16357.068738203454	9582.468466042294	2975.1373130014495
CTR_3	19286.34093990624	20526.511357668584	21387.646973613904	22475.96548923494	24777.90026983275	26582.88248626688	28802.530587581776	31228.555939282793	32801.31740340196	34080.10348909695	35293.08549131305	36402.14500371395	37384.07571487728	38417.578697713136	39239.300644708375	40170.681290985456	41333.35968578257	42564.461811164954	43149.13367440215	43772.587655075025	44355.15834706469	44925.11126796891	45500.815734775395	46133.77443003632	46193.20100677987	46486.655103836354	46613.22719082839	46517.795014608	46436.275483065205	46238.79958697543	46152.6929844244	45865.63845784501	45987.036376531454	46276.025969769355	46712.37026340023	47049.15815798111	47162.27485842197	47332.31841375694	47107.89321559224	46329.678969328204	45520.02579311759	44810.13491733809	44705.25761307589	44613.44724953732	44487.89967324633	44464.27897158715	44582.411277226325	46223.76084120375	46846.95189927178	46863.05620590783	47095.38053614879	47806.610007851414	47938.711408679665	47877.89197364224	48019.19991720842	47982.36085931305	47945.690395592734	47998.894199331	48049.33057797895	48613.477708376224	48990.08759937112	49106.79431839862	49570.633956574886	50395.66631223269	50468.90977445619	50606.86343623793	50823.73124351054	51130.29307567607	51260.92328260619	51312.25475220474	51204.257348324405	49944.18754905794	48475.32343425016	48520.88596133114	48230.689841437015	47803.25005169862	47520.9924498753	47394.82616108165	47255.69356246176	47159.06916882982	47230.526449721525	47009.614740657074	46821.83451205295	46417.364714891715	45975.69704701394	45430.17884789534	44660.02639049976	43580.910583343015	42272.39469167938	40751.767201862545	38880.33679602279	36464.050424318186	33257.49522757112	29706.082361939545	26239.23280379628	21852.14385175277	16808.758269375005	11842.176635302993	6994.796408587261	2196.794180285506
CTR_4	22708.458934498318	23983.04733009847	24854.161826266507	25833.362266963086	28391.0160580575	30511.065075588467	33048.66800905231	35706.80813984502	37614.947304715504	39178.96087950798	40775.2665870915	42252.91723354205	43526.4429004865	44885.760031746664	46012.21560907074	47189.21045258509	48619.287371567516	50116.12823201648	50898.72445046747	51728.7348939223	52543.61227534939	53253.090470703064	53944.36371921402	54798.40778575429	54971.264062502785	55362.4084331075	55537.735723628015	55521.19938015814	55571.48496206927	55439.0256647906	55489.97094887188	55186.827745764014	55428.51519655048	55925.10716465032	56557.73432004634	57139.767411928886	57546.1613175614	57919.59105350399	57773.42848668998	57094.35947260505	56506.4239974503	55758.55612228588	55741.74723611772	55699.546187637825	55659.074080366736	55718.65415718355	55981.98873406384	58190.344132028986	58952.96729448534	58972.66220323421	59309.88447566732	60377.91894744129	60573.44850857348	60538.81160932406	60806.91284564001	60891.62039027287	60912.23284168753	60932.163241699905	61171.36552227723	62101.261147784164	62685.42035259443	62866.19178361277	63688.73993338097	65242.90490481147	65499.93646746033	65919.04495004457	66400.55514873164	66916.27199669482	67159.44485463153	67418.58802832046	67379.7141299394	65815.40473250608	63936.63953448648	64048.55927174742	63686.97387262204	63153.895335026864	62769.89721203138	62608.73792709813	62547.43050490017	62455.86625418696	62542.072331598625	62248.11387837986	62011.80580779976	61602.67043862636	60874.10666990238	60144.648045802605	59072.99620173182	57677.72458096351	55828.82314517424	53882.06756212895	51497.497474614356	48194.47273477697	43716.827046176426	38969.26981948448	34428.212138778865	28397.948851348512	21456.158161946856	15061.419116550273	8816.84818889917	2731.701487507078
CTR_5	30732.92841762435	32313.839364384	33392.618806643644	34766.503512327516	38021.22931363956	40778.965927639336	44057.406160664184	47502.82506486395	50013.330115726625	52072.75860710393	54175.20280204331	56179.05745961107	57884.919357515195	59714.50287469748	61209.90113693639	62804.529796754774	64681.97054280787	66744.1742252095	67894.08345196334	69026.66111542708	70186.65541900572	71159.7576063522	72103.4209550945	73217.2448866219	73611.16695374768	74263.46351557126	74590.25955304553	74582.66209889927	74708.31410636778	74606.30210655653	74680.93272478628	74336.49000029438	74607.25030162359	75218.96104116361	76031.94617910855	76718.25694413015	77044.06192290325	77473.60684489015	77357.72856974385	76491.892208878	75773.8756384852	74869.931864738	74825.6703485255	74784.14130612538	74759.01287666733	74831.17805906477	75087.4018276918	77514.59888244046	78349.91651141724	78158.71482292941	78524.0123897672	79679.90327492889	79859.67075102209	80048.6549854736	80414.42630547729	80167.6458814686	80023.84885881246	80095.05694965484	80413.69002740573	81567.4069134533	82234.46158745291	82385.25063975387	83351.41815357291	84608.10766802823	84990.80547236823	85653.26707729071	86270.19544573218	86995.43073703606	87437.16298337403	87610.45173159524	87596.99264747593	85776.74151776916	83839.73601421334	84042.0551744754	83606.57393239356	82987.87057484353	82566.44529203733	82442.45673066871	82239.9592401988	82099.53869015632	82234.5138650327	81946.34762460148	81581.92203972758	81036.84491235396	80183.94569919641	79237.69710117938	77747.86703542879	75771.47565924011	73271.26163233968	70651.36003272516	67327.25878106491	62966.045090190164	57298.79316743221	51191.92187225907	45302.20634590029	37598.89854026635	28721.975644950686	20249.786032578955	11925.691433949247	3720.0087608977365
CTR_6	23270.281207632983	24809.11563631802	25952.085673180158	27341.92322275988	30051.423767408232	32292.464142289453	34936.80814587105	37988.48104739372	39911.60031268512	41515.51015643762	42982.57018447033	44246.75028432603	45330.33141398946	46466.62478133029	47423.47661732178	48480.30452942597	49809.76770577601	51302.99239642953	52065.89054119352	52798.444226376865	53473.45933163814	54120.677785713204	54801.209306481884	55580.46661491391	55759.38722642041	56234.54786582356	56350.31769491828	56236.47954550856	56132.89596608724	55786.678123739504	55601.68596610542	55216.382382194344	55318.39669487069	55599.08804457742	56058.89329063161	56396.788248758356	56447.46243243099	56561.15592066236	56193.47754949271	55148.78430011362	53989.00680439631	52988.2642892419	52698.985664633234	52508.42243218429	52306.32663164118	52231.678432154855	52323.12585380337	53951.86028386517	54479.52233258105	54243.014055111526	54370.83837206986	55077.356056410244	55164.94819432533	55042.546490085784	55190.039555610456	55118.82723573765	54938.85640883405	54909.76961433064	54932.132421140406	55595.88200040316	56032.33817454085	56185.0863574534	56730.37875525745	57749.553592270786	57806.57082481559	57955.15961533543	58169.66518983082	58439.602261808446	58552.2633363921	58497.5165382913	58285.98468306953	56833.738420342335	55279.63455706175	55308.520785864166	54960.061431985894	54511.25605963882	54218.84334192344	54101.77941358335	53900.54806919505	53773.413469057574	53815.56111605432	53572.60832777317	53327.21458562198	52819.86506045901	52303.603573108325	51684.11331750478	50748.345037143976	49445.28432428684	47907.103313391715	46176.56877457381	43997.3134483368	41229.56217033591	37563.45283415523	33617.70297466309	29696.406915604635	24610.285854683996	18827.8524984302	13265.923831833577	7858.411695346805	2482.8014435813507
GEM_50_TAX_10_1	29170.97622391094	30804.568678809686	31926.688014314594	33327.91885105874	36453.85876582266	39052.89740722554	41928.5348664213	44862.65910331311	47013.175329810794	49047.84414560729	51134.543883000275	53002.98937145318	54598.331805333255	56313.77974150348	57748.35706793357	59275.996901265884	61095.69794226416	63274.10271308062	64513.05671640986	65583.53587244032	66643.22571196202	67608.46151322768	68583.01329143977	69791.80559186167	70180.90433001753	70727.79206759167	70965.45640762942	70968.14166554675	70927.61779286426	70716.82270038914	70655.02762009978	70231.17713424524	70458.39371363912	71038.55179293599	71877.12472362322	72579.25311905972	72859.59423498157	73235.19541237954	73204.71122219138	72625.97669540376	72182.95030300139	71369.20510788333	71233.31264814682	71197.50586970922	71138.95591113552	71314.7229414901	71515.4185262621	73674.01354608993	74230.49480882796	74278.14288294227	74634.85499944621	75693.57704415523	75881.52601986947	75834.80631400553	76183.59024170067	76214.57002598721	76112.28751872618	76231.95914817617	76479.47134540434	77460.55540727364	78147.92406427597	78283.30014424658	79275.46625427835	81059.36841125991	81294.26092609501	81720.6884611527	82285.58064476545	82828.54032435693	83164.21749486413	83208.59785913302	83109.1589947775	81305.86366268368	79677.41321854744	79906.77520515173	79480.61374983918	78947.72302532947	78614.6879672754	78494.65680243242	78280.89309670065	78180.66259829732	78262.82583728287	77983.25133559537	77693.02808978205	77163.30375055457	76481.0438521126	75605.27944833037	74281.08396214746	72450.38050895034	70219.86830693665	67773.54221253635	64598.49725764112	60611.754556828404	55362.221690234044	49597.03125006102	43939.623973255264	36531.05158571522	27880.195364961695	19651.130587701282	11565.408654734596	3630.0767284765498
GEM_50_TAX_10_2	193420.86682269798	205489.991142684	214423.30223335145	225177.03241873704	247101.5043600865	264769.9204229224	285077.2840205341	308733.9046410711	324439.73212549795	338093.83150249225	350886.51734914293	362028.95611968305	371809.52592408034	382014.8305210165	390363.3733279608	399729.88765088	411580.0867763945	424643.21871063905	431890.24777367036	438084.6510595531	443890.5580681987	449782.0553917491	456329.07122581376	463869.3373844921	464437.7780409602	469652.5130429708	471143.52322819136	471133.6216427485	471145.8487231554	468400.8708104567	467242.6011108929	463852.37553961645	464521.2745473641	467199.409776514	471144.605339892	474435.86419833096	476204.64786297333	478141.63115621835	476873.1483647727	470199.9525431032	461958.24705821654	455726.08195893385	454972.6568999599	453963.89067263436	453302.0249379672	452354.50501372054	452904.8647607537	465232.51998436585	468691.58765782305	467949.8512515915	469592.7345366301	475585.54613164364	476373.77883326175	475889.7121581172	477440.99302857695	477390.11531003146	476388.28851037985	477076.0102883524	477695.5404739835	494051.17882900056	500649.54584476544	501018.4725063098	506716.7100728091	514883.4757509011	515503.5151026067	517417.81946605927	519613.01331442327	522649.06782958144	524321.0163016919	524494.7506283157	523731.81764052354	512537.86228801566	501853.1188297824	503454.4703743399	501276.2210101563	498073.87349133036	496038.6177231178	495255.85312905704	493843.6020142454	493032.93744724384	493314.4647219342	491498.08490527794	489847.13170130434	486294.6830285796	482251.54494835145	476738.476515905	468792.4400291988	457617.7961918863	444060.9709857568	429005.85005419387	409433.4335400521	378202.66113242134	338861.03644237283	302983.18960721785	267978.7859691621	222480.63024289627	171949.8021659938	121543.0908399506	71700.83185097261	22571.099553848155
GEM_50_TAX_10_3	23182.09345955817	24618.19330530006	25710.626076136694	27029.721693982643	29608.221030808618	31649.377507577923	33989.40819486927	36427.240967983904	37975.3403765163	39414.940303436706	40906.92991012711	42167.76128488236	43278.62943463562	44393.52910515913	45300.57632398105	46355.05812342661	47709.05935932943	49264.68029965308	50076.60153226763	50770.69287129496	51386.58786560531	52081.221566065986	52809.07505845651	53602.379541604394	53810.321515371026	54247.17212587825	54377.40199400477	54357.659888032664	54260.93675324591	53981.457972377764	53867.831333731956	53483.15457498934	53647.50092782322	54069.217900008916	54629.067659399974	55099.732988851945	55318.66911672759	55557.12051511656	55445.65604547654	54820.50191345772	54254.46721584003	53666.89057452791	53634.436059524196	53622.61066714638	53532.92899425487	53563.82470031626	53691.618183724015	55591.21529582935	56152.072407876505	56131.751484897875	56389.643537797914	57184.968592569065	57332.10288292699	57306.57460208294	57525.94482106544	57525.17372771852	57453.61084373207	57552.34038667344	57654.750211047576	58295.094578084245	58686.60395408777	58751.03373369233	59384.75849244622	60456.626552235364	60555.068700903255	60745.575249948684	61014.4437302065	61334.62813173952	61527.79875186418	61507.49835605534	61359.44664679991	59815.765349250236	58209.31839691753	58365.82402759176	58079.75995479408	57586.46599869697	57273.50608545996	57129.92202151908	56936.13949229266	56861.68473926578	56909.26487527294	56657.24015556686	56486.70570870641	56094.924948079904	55637.54508424575	54953.397419150344	54006.02209816397	52662.46815658179	51079.01753474991	49240.303886013666	46896.5486239493	43958.63052963039	40138.6464630552	35936.79862798088	31759.551428838247	26403.506965398796	20284.97672720167	14303.515271601096	8450.457422047799	2664.4730420786937
GEM_50_TAX_10_5	22858.31162099687	24174.79912483652	25046.077050353506	26156.473137801775	28873.111555463765	30890.450491175132	33301.39702775052	35710.848971199506	37407.12052249455	38988.51203205364	40598.56019757116	42073.86276164856	43347.80524847576	44740.815659681466	45894.64206582046	47148.456604623156	48635.30700600891	50330.279100426334	51129.9052692152	51895.94092958224	52596.35713513545	53344.03295669027	54153.91159136784	55088.27801592499	55359.244240927444	55783.14438320383	55930.9582411386	55905.84472841257	55815.713521752696	55620.774985922035	55544.376931934705	55189.3231786537	55441.336961510955	55956.05102355161	56601.37759524121	57157.70247930154	57387.86359440004	57707.92771751141	57719.078620715845	57204.07158686365	56826.24936450008	56288.2128708071	56323.56104755888	56330.64484453164	56294.68947790792	56427.33017442514	56622.066648654734	58936.65118513226	59579.31628470643	59473.859004169775	59830.82840001571	60801.13946791675	61045.87722506366	61277.41169393018	61557.45371320872	61592.65574734661	61560.95863045966	61656.69282373363	61881.58329044761	62638.911449999054	63142.97172739152	63231.01553875734	63956.65699858271	65167.40864804631	65324.19246037652	65623.0778420717	66051.31219017386	66522.0745417685	66777.45169790396	66830.743329539	66737.06364490585	64987.407279525694	63152.89121402729	63277.21895112128	62898.8696967085	62319.70132693391	61953.71339165622	61842.60441208665	61688.59743078791	61665.95350832537	61723.90730099236	61452.15000231929	61225.162601328004	60877.684237544505	60386.73442202039	59597.949745451944	58404.805477363545	56971.48819367595	55221.61722106456	53249.93071641442	50746.075801569554	47534.66016472571	43381.39716330436	38809.05207092085	34279.29263400441	28513.403043693386	21887.449529174217	15453.103606349232	9089.794525107007	2844.540452238811
