Sample	Exonic	Intronic	Intergenic
CTR_1	17985709.0	16025801.0	1949271.0
CTR_2	15760441.0	13831669.0	1559097.0
CTR_3	13271051.0	17662022.0	2170704.0
CTR_4	15133935.0	14884297.0	2984046.0
CTR_5	20309252.0	21168322.0	2214086.0
CTR_6	15341468.0	20458894.0	2137203.0
GEM_50_TAX_10_1	20182304.0	20591894.0	2206166.0
GEM_50_TAX_10_2	129970270.0	145198676.0	15467346.0
GEM_50_TAX_10_3	15715669.0	18435924.0	2033313.0
GEM_50_TAX_10_5	16300549.0	16060534.0	1718599.0
GEM_50_TAX_10_6	19231899.0	19226160.0	2245821.0
SIM_1	19514614.0	22194001.0	2397697.0
SIM_2	17205560.0	22458322.0	2480532.0
SIM_3	18671791.0	19746408.0	2042921.0
SIM_4	15129995.0	21226866.0	2089825.0
SIM_5	14793686.0	18516634.0	1884517.0
SIM_6	17702054.0	18217589.0	1929565.0
VPA_1	16413021.0	12912788.0	1468412.0
VPA_2	15279899.0	14756038.0	1717273.0
VPA_3	19888812.0	20130384.0	2115103.0
VPA_4	17332834.0	22741173.0	2407044.0
VPA_5	15932457.0	14911193.0	1535136.0
VPA_6	17366050.0	18200168.0	2128893.0
VPA_SIM_1	16120690.0	21294128.0	2295625.0
VPA_SIM_2	13841641.0	23166242.0	2808010.0
VPA_SIM_3	16069043.0	20502091.0	2164209.0
VPA_SIM_5	19858593.0	20462373.0	2221203.0
VPA_SIM_6	18681207.0	21146398.0	2181117.0
VS_GEM_50_TAX_10_1	15692900.0	22210803.0	2671502.0
VS_GEM_50_TAX_10_2	18253414.0	21698322.0	2300834.0
VS_GEM_50_TAX_10_3	18713138.0	18853094.0	1952181.0
VS_GEM_50_TAX_10_4	18282237.0	21145740.0	2555974.0
VS_GEM_50_TAX_10_5	15523190.0	21078914.0	2404778.0
VS_GEM_50_TAX_10_6	20155520.0	20468030.0	2220855.0
