Sample	Sense	Antisense	Undetermined
CTR_1	2.02	91.38	6.6000000000000005
CTR_2	2.06	91.36999999999999	6.569999999999999
CTR_3	2.23	91.57	6.2
CTR_4	1.95	91.42	6.63
CTR_5	2.17	92.75	5.08
CTR_6	2.39	92.67999999999999	4.93
GEM_50_TAX_10_1	2.25	92.78	4.97
GEM_50_TAX_10_2	5.41	90.10000000000001	4.49
GEM_50_TAX_10_3	2.11	93.2	4.7
GEM_50_TAX_10_5	1.78	91.84	6.38
GEM_50_TAX_10_6	2.34	92.61	5.050000000000001
SIM_1	2.5100000000000002	92.46	5.029999999999999
SIM_2	2.75	92.36999999999999	4.87
SIM_3	2.16	92.75999999999999	5.08
SIM_4	2.46	92.71000000000001	4.83
SIM_5	2.03	93.15	4.82
SIM_6	1.9300000000000002	92.85	5.220000000000001
VPA_1	1.82	91.83	6.35
VPA_2	2.31	91.13	6.5600000000000005
VPA_3	2.21	92.44	5.34
VPA_4	2.46	92.55	4.99
VPA_5	1.7999999999999998	91.71000000000001	6.49
VPA_6	2.2399999999999998	92.67999999999999	5.08
VPA_SIM_1	2.59	92.54	4.87
VPA_SIM_2	2.63	92.75999999999999	4.61
VPA_SIM_3	2.3800000000000003	92.5	5.12
VPA_SIM_5	2.5700000000000003	92.46	4.97
VPA_SIM_6	2.44	92.36999999999999	5.2
VS_GEM_50_TAX_10_1	3.5000000000000004	92.34	4.16
VS_GEM_50_TAX_10_2	2.62	92.78	4.590000000000001
VS_GEM_50_TAX_10_3	1.95	93.01	5.04
VS_GEM_50_TAX_10_4	2.48	92.94	4.58
VS_GEM_50_TAX_10_5	2.5700000000000003	93.04	4.390000000000001
VS_GEM_50_TAX_10_6	2.12	92.69	5.18
