Sample	Known Splicing Events	Partial Novel Splicing Events	Novel Splicing Events
CTR_1	2128395.0	25825.0	27097.0
CTR_2	1919672.0	24185.0	25641.0
CTR_3	1699567.0	21123.0	27087.0
CTR_4	1853397.0	21682.0	23886.0
CTR_5	2246166.0	28062.0	31514.0
CTR_6	1885590.0	24656.0	30975.0
GEM_50_TAX_10_1	2324748.0	29145.0	35721.0
GEM_50_TAX_10_2	5421720.0	136330.0	209748.0
GEM_50_TAX_10_3	2001271.0	24748.0	31905.0
GEM_50_TAX_10_5	2060158.0	24503.0	28354.0
GEM_50_TAX_10_6	2222202.0	29288.0	34001.0
SIM_1	2195687.0	28727.0	35648.0
SIM_2	2014484.0	28009.0	36739.0
SIM_3	2212991.0	27104.0	32450.0
SIM_4	1879537.0	25439.0	31515.0
SIM_5	1875816.0	23355.0	28883.0
SIM_6	2155300.0	25763.0	29262.0
VPA_1	2052379.0	23275.0	24241.0
VPA_2	1912589.0	23439.0	26180.0
VPA_3	2261656.0	29158.0	33495.0
VPA_4	2039691.0	27173.0	34142.0
VPA_5	1890451.0	22131.0	24015.0
VPA_6	1973882.0	25999.0	31572.0
VPA_SIM_1	1989714.0	25828.0	34849.0
VPA_SIM_2	1554135.0	21759.0	37431.0
VPA_SIM_3	1942722.0	25242.0	31973.0
VPA_SIM_5	2267138.0	29785.0	36081.0
VPA_SIM_6	2182437.0	27937.0	33384.0
VS_GEM_50_TAX_10_1	1872430.0	29548.0	41063.0
VS_GEM_50_TAX_10_2	2124833.0	27670.0	36975.0
VS_GEM_50_TAX_10_3	2267824.0	27971.0	33109.0
VS_GEM_50_TAX_10_4	2207997.0	30190.0	36717.0
VS_GEM_50_TAX_10_5	1948686.0	27782.0	36507.0
VS_GEM_50_TAX_10_6	2441340.0	31099.0	36726.0
