Sample	Known Splicing Junctions	Partial Novel Splicing Junctions	Novel Splicing Junctions
CTR_1	153201.0	16944.0	18831.0
CTR_2	149422.0	16009.0	18381.0
CTR_3	146144.0	14093.0	19423.0
CTR_4	147233.0	14484.0	16988.0
CTR_5	154581.0	17985.0	22257.0
CTR_6	149818.0	15961.0	21797.0
GEM_50_TAX_10_1	158565.0	18896.0	25744.0
GEM_50_TAX_10_2	205910.0	63682.0	123713.0
GEM_50_TAX_10_3	153947.0	16365.0	23111.0
GEM_50_TAX_10_5	154231.0	16406.0	20794.0
GEM_50_TAX_10_6	156278.0	18899.0	24121.0
SIM_1	156297.0	18431.0	24801.0
SIM_2	152276.0	18053.0	25728.0
SIM_3	155945.0	17453.0	23170.0
SIM_4	148988.0	16457.0	22276.0
SIM_5	148218.0	15385.0	20983.0
SIM_6	151992.0	16818.0	20942.0
VPA_1	154425.0	15796.0	17299.0
VPA_2	151154.0	15379.0	18694.0
VPA_3	158528.0	18665.0	23800.0
VPA_4	151817.0	17425.0	23766.0
VPA_5	148741.0	14790.0	17484.0
VPA_6	152032.0	16821.0	22148.0
VPA_SIM_1	153788.0	16777.0	24406.0
VPA_SIM_2	147691.0	14396.0	26112.0
VPA_SIM_3	149205.0	16222.0	22481.0
VPA_SIM_5	155592.0	18843.0	25250.0
VPA_SIM_6	152780.0	17854.0	23601.0
VS_GEM_50_TAX_10_1	153450.0	18835.0	28139.0
VS_GEM_50_TAX_10_2	157772.0	17972.0	25819.0
VS_GEM_50_TAX_10_3	157888.0	18284.0	23717.0
VS_GEM_50_TAX_10_4	158543.0	19453.0	25763.0
VS_GEM_50_TAX_10_5	155152.0	17958.0	25688.0
VS_GEM_50_TAX_10_6	162011.0	20124.0	26344.0
