Sample	CDS_Exons	5'UTR_Exons	3'UTR_Exons	Introns	TSS_up_1kb	TSS_up_1kb-5kb	TSS_up_5kb-10kb	TES_down_1kb	TES_down_1kb-5kb	TES_down_5kb-10kb	Other_intergenic
CTR_1	7996560.0	128754.0	1711037.0	12894873.0	33258.0	77852.0	71165.0	88454.0	180340.0	112625.0	888057.0
CTR_2	7214596.0	118748.0	1528447.0	11216501.0	29926.0	67047.0	60336.0	73858.0	147320.0	92554.0	759988.0
CTR_3	6698923.0	118298.0	1375879.0	13722798.0	33800.0	85041.0	78761.0	85890.0	184795.0	116822.0	925901.0
CTR_4	6958653.0	114036.0	1541073.0	11268557.0	29306.0	66862.0	61291.0	76098.0	152062.0	94150.0	786975.0
CTR_5	8546641.0	144369.0	1930857.0	16169941.0	38598.0	93942.0	87468.0	104177.0	215016.0	136213.0	1108747.0
CTR_6	7436278.0	137405.0	1513353.0	15827616.0	37587.0	96164.0	88453.0	97237.0	208104.0	133176.0	1046507.0
GEM_50_TAX_10_1	8956881.0	145954.0	1978664.0	16385259.0	40311.0	98156.0	90001.0	107050.0	221216.0	142218.0	1115862.0
GEM_50_TAX_10_2	23960581.0	545320.0	5272628.0	74808349.0	198316.0	501508.0	457172.0	468920.0	1062308.0	699199.0	5298007.0
GEM_50_TAX_10_3	7777987.0	134229.0	1565153.0	14753018.0	36012.0	87476.0	78581.0	90457.0	189855.0	122070.0	956475.0
GEM_50_TAX_10_5	7802331.0	125123.0	1704990.0	13124503.0	33603.0	76973.0	70156.0	85266.0	170005.0	106835.0	891792.0
GEM_50_TAX_10_6	8520766.0	150002.0	1815392.0	15231863.0	39354.0	91623.0	81764.0	96812.0	197091.0	125694.0	1019876.0
SIM_1	8571191.0	159032.0	1837525.0	17302263.0	42590.0	105433.0	96891.0	105876.0	222900.0	143740.0	1154773.0
SIM_2	8142194.0	152928.0	1665479.0	17643450.0	41570.0	106589.0	96758.0	106067.0	226245.0	144799.0	1137872.0
SIM_3	8483148.0	153422.0	1847899.0	15917566.0	39193.0	94938.0	87779.0	102160.0	212747.0	133507.0	1081927.0
SIM_4	7540130.0	138638.0	1579373.0	16992011.0	38316.0	99624.0	91376.0	103383.0	221226.0	139972.0	1072859.0
SIM_5	7322139.0	126571.0	1606888.0	15086541.0	34567.0	87586.0	81795.0	95761.0	201610.0	127323.0	997085.0
SIM_6	8170035.0	127601.0	1766999.0	14685385.0	32928.0	81866.0	75568.0	96186.0	198545.0	121437.0	946454.0
VPA_1	7578235.0	117700.0	1674105.0	10596570.0	28479.0	63255.0	57785.0	75859.0	150216.0	91331.0	739389.0
VPA_2	7231902.0	121955.0	1515710.0	11859233.0	31245.0	72524.0	66329.0	80099.0	163775.0	102084.0	825109.0
VPA_3	8648522.0	162489.0	1731224.0	15500925.0	39279.0	90923.0	82381.0	97032.0	203987.0	126505.0	999148.0
VPA_4	8078311.0	146171.0	1701036.0	17282634.0	40439.0	102875.0	95331.0	108385.0	232239.0	146493.0	1139978.0
VPA_5	7094660.0	110682.0	1625479.0	11565988.0	28538.0	67248.0	62089.0	78455.0	155620.0	94198.0	788178.0
VPA_6	7584469.0	134534.0	1483093.0	13855208.0	36413.0	85985.0	77617.0	88187.0	187317.0	119075.0	942256.0
VPA_SIM_1	8007978.0	138143.0	1688227.0	17171004.0	40865.0	105153.0	95398.0	109200.0	232469.0	146248.0	1129713.0
VPA_SIM_2	6596139.0	123220.0	1243385.0	15203486.0	37797.0	98817.0	90457.0	92914.0	207575.0	132697.0	1019927.0
VPA_SIM_3	7699923.0	135279.0	1647303.0	16429252.0	39167.0	100861.0	92944.0	106459.0	229736.0	143476.0	1101143.0
VPA_SIM_5	8728888.0	161044.0	1820212.0	16204977.0	41160.0	99230.0	90282.0	104630.0	217141.0	135717.0	1086051.0
VPA_SIM_6	8454026.0	151223.0	1790030.0	16747366.0	39641.0	97471.0	89439.0	104118.0	216197.0	134847.0	1066619.0
VS_GEM_50_TAX_10_1	7801296.0	160063.0	1396074.0	16515778.0	45636.0	109794.0	100314.0	102583.0	230071.0	150453.0	1154041.0
VS_GEM_50_TAX_10_2	8413158.0	153500.0	1720382.0	16071960.0	42245.0	101173.0	92706.0	98996.0	207739.0	135325.0	1099768.0
VS_GEM_50_TAX_10_3	8623028.0	146437.0	1843926.0	15174331.0	36728.0	86837.0	80088.0	96964.0	198772.0	124240.0	992835.0
VS_GEM_50_TAX_10_4	8610376.0	161154.0	1644974.0	16643152.0	43355.0	103313.0	93360.0	101246.0	214791.0	140959.0	1120895.0
VS_GEM_50_TAX_10_5	7838218.0	153823.0	1414225.0	16553526.0	43565.0	104980.0	94199.0	97831.0	213463.0	139276.0	1087393.0
VS_GEM_50_TAX_10_6	9277561.0	170518.0	1819907.0	16383785.0	43275.0	99443.0	89201.0	102363.0	212122.0	134624.0	1081600.0
