Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	X	MT
CTR_1	3994547	3466140	2609385	1675981	2584918	2595471	2568447	2097040	2437178	1521650	2774298	3147872	735635	4450535	1266045	1519631	2268418	431678	916599	968905	504551	664117	878724	256962
CTR_2	3495236	2927313	2320298	1406267	2247023	2305732	2236540	1863268	2167789	1294069	2331808	2602488	639339	4929074	1093355	1349251	2919056	363955	856039	885562	454587	607523	767746	300435
CTR_3	3715795	3227080	2137168	1575657	2388846	2019435	2467743	1990709	1899637	1385292	2538634	2665095	666782	2790079	1115105	1632228	2385202	378172	831764	918858	549360	571407	795112	289374
CTR_4	3803264	3334004	2289890	1500856	2346011	2162166	2227819	1912683	2435253	1278700	2600602	3076658	628888	4286176	1056306	1772808	2447438	371996	864032	839108	887308	536432	793760	334168
CTR_5	4887159	4333217	3176541	2175618	3339702	2955599	3219094	2646128	2614118	1866248	3174212	3494511	935436	4932869	1534096	1787019	3219297	531787	1043767	1134619	565953	739739	1093673	301851
CTR_6	4280300	3713878	2525760	1831600	2767459	2312186	2887525	2276188	2093853	1619568	2819708	2890557	789005	3475071	1296959	1768920	3006620	434698	922044	1072658	537478	664177	916994	346311
GEM_50_TAX_10_1	4776279	4163046	3063406	1956933	3097209	2844225	3129028	2551042	2517230	1852267	3206647	3370156	847511	5039894	1522533	1913899	3137761	529366	1086700	1175228	567725	770831	1039835	325337
GEM_50_TAX_10_2	32383743	27786872	21523254	12691558	20108827	18432890	21381229	17249773	18418678	12526596	22311514	23383455	5592796	37845572	10214328	14194192	21401143	3423117	7741201	8278232	3931208	5419213	6824223	2626545
GEM_50_TAX_10_3	3976236	3472317	2480724	1621043	2593232	2330549	2666150	2168582	2079976	1554508	2654388	2902252	688606	3457935	1257586	1683032	2436709	442907	922949	1040580	531011	654124	855258	265113
GEM_50_TAX_10_5	3731189	3331823	2399375	1592206	2498466	2428033	2434529	1969662	1918251	1449505	2406609	2638452	645271	3435590	1194016	1397546	2126759	439695	858887	919495	467491	599873	809055	205981
GEM_50_TAX_10_6	4498861	3890645	2981402	1813651	2959959	2808746	2965626	2436574	2695535	1738355	3008551	3491342	816854	5183284	1412455	1813658	3029143	493834	1071194	1165350	606711	754153	969938	319770
SIM_1	4853079	4260945	3318544	2032062	3224621	2989864	3292703	2692011	2992451	1888062	3444336	3588597	896549	6065130	1529935	2012851	3236385	518818	1086678	1195926	604804	791201	1082415	452410
SIM_2	4647138	3979696	2870617	1869113	2925750	2489156	3135921	2547820	2599397	1787717	3258288	3436129	868927	4768282	1439495	2088015	3757978	471621	1107504	1254515	644423	776709	985660	390078
SIM_3	4465605	3923976	3054786	1897091	2943675	2868016	2951650	2413775	2587988	1739207	2990861	3239908	836924	5451362	1404115	1701455	3088589	490624	1022459	1078039	539942	741888	991122	246945
SIM_4	4203797	3727101	2541014	1849738	2833612	2283159	2952692	2373957	2007409	1654845	2892571	2903920	793852	3230003	1329913	1855836	2625785	444498	920384	1077186	517475	656000	918442	285777
SIM_5	3879249	3470006	2418136	1696098	2622408	2204839	2636161	2137055	1871918	1529530	2569906	2745966	772227	3070808	1214098	1534534	2535814	420919	845692	954338	457502	595012	874253	240764
SIM_6	4170720	3803831	2590940	1810913	2785422	2466053	2770639	2294089	2162074	1618941	2703059	3091040	781724	3979062	1330516	1602944	2420431	462423	907484	986770	453958	631109	922141	222383
VPA_1	3634572	3023710	2540060	1370364	2231698	2372321	2143861	1734381	2410372	1330212	2208825	2510065	579426	5161201	1115833	1268778	3575818	395908	825498	809879	403568	592176	775008	232002
VPA_2	3678782	3028679	2364569	1427928	2267073	2293050	2301770	1875227	2282907	1346347	2408159	2622061	630676	4724093	1101008	1428408	3916051	374567	833808	900336	458393	619939	778168	267652
VPA_3	5084985	4051245	3328783	1819827	2963796	2989868	3078390	2441477	3199011	1831925	3182247	3356945	808129	6497655	1466801	1941627	4852718	507041	1125736	1194946	589126	829795	1020568	327537
VPA_4	4778097	4156946	2903183	2037363	3124501	2510926	3210864	2603717	2387190	1830939	3294065	3311667	878436	3975067	1456928	1964735	3252138	489731	1042136	1201917	592333	724164	1040162	341508
VPA_5	3578283	3167724	2234542	1572711	2457381	2358819	2348824	1908849	1798124	1378715	2276904	2543026	670145	3512902	1132763	1316989	2410368	400660	837059	849926	414141	573996	805904	182602
VPA_6	4086735	3566036	2605740	1698859	2711432	2662294	2764568	2259125	2361691	1575605	2891190	3124733	754919	3896940	1297576	1730180	2180089	440734	1007385	1079713	585007	663227	892162	288220
VPA_SIM_1	4325983	3798480	2601144	1787571	2870221	2338921	2983071	2394780	2058141	1723865	2961078	3034732	791949	3309480	1378384	1922399	2672010	472882	1004150	1164076	607275	698308	952260	315742
VPA_SIM_2	4462873	3829107	2565481	1794071	2804980	1891072	3033299	2331668	1945482	1700695	3074612	2798053	777430	3065726	1333151	2234177	2471725	448250	1051871	1351488	910625	682340	983481	936498
VPA_SIM_3	4248735	3774015	2592244	1839987	2860837	2363996	2937838	2375776	2075298	1662636	2933235	2997380	822105	3457391	1336416	1817849	2607512	448020	941993	1079629	514542	657186	947486	293269
VPA_SIM_5	4687223	4065302	3240991	1917601	3135971	2934745	3165692	2637577	2923752	1801022	3195623	3487366	843026	6093565	1482901	1982169	3270575	488684	1132022	1177498	567457	782680	1035206	337291
VPA_SIM_6	4609371	4004816	2925294	1925095	3014561	2710989	3143102	2556036	2538538	1811184	3109124	3439046	868753	5277601	1466329	1893441	2981226	489358	1094505	1162917	534132	749820	1016485	276362
VS_GEM_50_TAX_10_1	4491246	3722407	2480461	1651934	2602889	2096876	3087391	2341063	2053731	1692031	3053862	2957575	785827	3382750	1359460	2287534	3285410	430306	1319917	1497814	887937	839574	922898	607245
VS_GEM_50_TAX_10_2	4716085	3960847	3109145	1803278	2938916	2503601	3215672	2522283	2599406	1835952	3194759	3143626	793785	5332792	1483026	2171607	2981605	481873	1251607	1297126	630258	805092	1023395	430755
VS_GEM_50_TAX_10_3	4430393	3933829	2913042	1823012	2876827	2664563	2826082	2341122	2500600	1690461	2851762	3136574	766652	5043873	1414042	1735285	2762748	490528	1009029	1068823	496716	702537	945881	234850
VS_GEM_50_TAX_10_4	4670282	4001697	2951263	1825587	2913744	2674726	3054336	2479520	2809609	1777815	3140077	3568237	770949	4988072	1450027	2082075	3491345	498345	1137661	1239366	636472	792946	973845	332794
VS_GEM_50_TAX_10_5	4308663	3696757	2549961	1672500	2683488	2315570	2914645	2302351	2228199	1649963	2918737	3045222	711690	3598437	1334729	2037149	2788772	450696	1071244	1234929	650788	728326	895843	353769
VS_GEM_50_TAX_10_6	4861067	4143743	3305176	1854743	3014959	3036412	3069627	2446106	3057039	1840725	3063125	3386754	774607	6066879	1510671	1953721	3989358	538728	1176417	1227438	594161	831152	1030419	331062
