Sample	Chromosome X	Chromosome Y
CTR_1	878724.0	26819.0
CTR_2	767746.0	29208.0
CTR_3	795112.0	47185.0
CTR_4	793760.0	141746.0
CTR_5	1093673.0	39414.0
CTR_6	916994.0	27235.0
GEM_50_TAX_10_1	1039835.0	21010.0
GEM_50_TAX_10_2	6824223.0	180050.0
GEM_50_TAX_10_3	855258.0	27419.0
GEM_50_TAX_10_5	809055.0	22706.0
GEM_50_TAX_10_6	969938.0	29218.0
SIM_1	1082415.0	29706.0
SIM_2	985660.0	35370.0
SIM_3	991122.0	32655.0
SIM_4	918442.0	20165.0
SIM_5	874253.0	23953.0
SIM_6	922141.0	26593.0
VPA_1	775008.0	38576.0
VPA_2	778168.0	38937.0
VPA_3	1020568.0	52527.0
VPA_4	1040162.0	31693.0
VPA_5	805904.0	14449.0
VPA_6	892162.0	22576.0
VPA_SIM_1	952260.0	28883.0
VPA_SIM_2	983481.0	34030.0
VPA_SIM_3	947486.0	18034.0
VPA_SIM_5	1035206.0	29393.0
VPA_SIM_6	1016485.0	20155.0
VS_GEM_50_TAX_10_1	922898.0	23926.0
VS_GEM_50_TAX_10_2	1023395.0	23772.0
VS_GEM_50_TAX_10_3	945881.0	28584.0
VS_GEM_50_TAX_10_4	973845.0	43152.0
VS_GEM_50_TAX_10_5	895843.0	40219.0
VS_GEM_50_TAX_10_6	1030419.0	47203.0
