Sample	Mapped
CTR_1	39922910.0
CTR_2	35039494.0
CTR_3	35965946.0
CTR_4	37034382.0
CTR_5	47995743.0
CTR_6	41209936.0
GEM_50_TAX_10_1	47200293.0
GEM_50_TAX_10_2	319337201.0
GEM_50_TAX_10_3	39407346.0
GEM_50_TAX_10_5	37105812.0
GEM_50_TAX_10_6	45172966.0
SIM_1	48895231.0
SIM_2	46287953.0
SIM_3	44781247.0
SIM_4	41508759.0
SIM_5	38141532.0
SIM_6	41365600.0
VPA_1	34922962.0
VPA_2	35706920.0
VPA_3	47344116.0
VPA_4	46208956.0
VPA_5	35524093.0
VPA_6	41319850.0
VPA_SIM_1	42838767.0
VPA_SIM_2	42928191.0
VPA_SIM_3	42010389.0
VPA_SIM_5	47432852.0
VPA_SIM_6	46276694.0
VS_GEM_50_TAX_10_1	43959117.0
VS_GEM_50_TAX_10_2	46485587.0
VS_GEM_50_TAX_10_3	43562735.0
VS_GEM_50_TAX_10_4	46322268.0
VS_GEM_50_TAX_10_5	42397036.0
VS_GEM_50_TAX_10_6	47650886.0
