Sample	Uniquely mapped	Mapped to multiple loci	Mapped to too many loci	Unmapped: too short	Unmapped: other
CTR_1	36644138.0	3278772.0	18127.0	3736851.0	43706.0
CTR_2	31769123.0	3270371.0	15470.0	3974614.0	39043.0
CTR_3	33590820.0	2375126.0	18372.0	3055134.0	42975.0
CTR_4	33577541.0	3456841.0	15012.0	4441213.0	37391.0
CTR_5	44465401.0	3530342.0	22280.0	4103333.0	52205.0
CTR_6	38495647.0	2714289.0	22051.0	4197913.0	54577.0
GEM_50_TAX_10_1	43741086.0	3459207.0	21433.0	5966832.0	47905.0
GEM_50_TAX_10_2	295434988.0	23902213.0	153314.0	39078088.0	1079505.0
GEM_50_TAX_10_3	36764644.0	2642702.0	19225.0	5427161.0	44890.0
GEM_50_TAX_10_5	34677734.0	2428078.0	16025.0	3622016.0	40788.0
GEM_50_TAX_10_6	41438941.0	3734025.0	20526.0	5575194.0	50822.0
SIM_1	44826434.0	4068797.0	25206.0	5361655.0	59816.0
SIM_2	42787149.0	3500804.0	23314.0	5544746.0	51917.0
SIM_3	41166581.0	3614666.0	20789.0	3369661.0	48276.0
SIM_4	38988222.0	2520537.0	20830.0	3778788.0	49900.0
SIM_5	35750654.0	2390878.0	18774.0	2896867.0	45199.0
SIM_6	38502145.0	2863455.0	18672.0	5590709.0	47020.0
VPA_1	31447987.0	3474975.0	15110.0	4342069.0	35397.0
VPA_2	32343600.0	3363320.0	17783.0	3958711.0	39746.0
VPA_3	42918089.0	4426027.0	23597.0	4924066.0	52384.0
VPA_4	43120719.0	3088237.0	24277.0	3926703.0	60256.0
VPA_5	32987921.0	2536172.0	15332.0	2736231.0	38323.0
VPA_6	38332538.0	2987312.0	20965.0	4518116.0	50507.0
VPA_SIM_1	40303918.0	2534849.0	21373.0	5268709.0	48204.0
VPA_SIM_2	40307074.0	2621117.0	25654.0	12564643.0	66685.0
VPA_SIM_3	39328404.0	2681985.0	21486.0	3208830.0	54310.0
VPA_SIM_5	43295768.0	4137084.0	22088.0	5421588.0	52945.0
VPA_SIM_6	42710178.0	3566516.0	21817.0	4721091.0	56143.0
VS_GEM_50_TAX_10_1	41171423.0	2787694.0	25440.0	9187645.0	58554.0
VS_GEM_50_TAX_10_2	42960864.0	3524723.0	23714.0	9284631.0	55831.0
VS_GEM_50_TAX_10_3	40223568.0	3339167.0	19643.0	5408297.0	49033.0
VS_GEM_50_TAX_10_4	42647775.0	3674493.0	23103.0	6726277.0	53130.0
VS_GEM_50_TAX_10_5	39568042.0	2828994.0	22602.0	5898003.0	53222.0
VS_GEM_50_TAX_10_6	43595323.0	4055563.0	22342.0	6267693.0	53985.0
