Sample	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
CTR_1	3.4	43773770	18913145	43773770	4355772669	4070888	4320088117	0.8192473462622758
CTR_2	3.4	39426647	16966146	39426647	3923193336	4078685	3859272581	1.629304230649315
CTR_3	3.4	39645666	17592413	39645666	3945579501	4415436	3859864574	2.1724293472803096
CTR_4	3.4	41785004	17728718	41785004	4158047623	5153366	4101717239	1.3547315737417662
CTR_5	3.4	52524690	23431969	52524690	5227242475	4903983	5153528388	1.4101906952384107
CTR_6	3.4	46006748	20348335	46006748	4578653777	4743429	4491738357	1.8982745635104177
GEM_50_TAX_10_1	3.4	53282781	23326706	53282781	5302228168	5111532	5260142008	0.7937447930664007
GEM_50_TAX_10_2	3.4	360129162	155472036	360129162	35833694810	37262929	35530417395	0.8463470390314463
GEM_50_TAX_10_3	3.4	44970759	19503688	44970759	4475014289	4601116	4435813591	0.875990454295508
GEM_50_TAX_10_5	3.4	40812185	17895351	40812185	4061342136	3849954	4030166060	0.7676298857870959
GEM_50_TAX_10_6	3.4	50883744	21889565	50883744	5063393406	5237781	5021340205	0.8305339448869994
SIM_1	3.4	54377045	23649524	54377045	5411058611	5722065	5368923892	0.7786779266139425
SIM_2	3.4	52026514	22240941	52026514	5176979525	6012532	5127128519	0.962936124418997
SIM_3	3.4	48252175	21255420	48252175	4801485157	4442516	4764328015	0.7738676843732248
SIM_4	3.4	45379000	20028851	45379000	4515939774	4609750	4481701294	0.7581695441804623
SIM_5	3.4	41136620	18278063	41136620	4093887550	3932363	4061457050	0.7921688029755483
SIM_6	3.4	47038554	20592882	47038554	4680859266	4346999	4646675184	0.7302950175900461
VPA_1	3.4	39746705	17587334	39746705	3955092869	3925091	3882342690	1.8394050761795147
VPA_2	3.4	40444813	17667849	40444813	4024708024	4648107	3922287510	2.5447936443898422
VPA_3	3.4	54168385	24705048	54168385	5390656190	5379819	5163372178	4.2162587260086415
VPA_4	3.4	50641986	22433649	50641986	5039767943	5520006	4960811976	1.566658780582668
VPA_5	3.4	38601766	17095609	38601766	3841550147	3667781	3785928105	1.4479061803589153
VPA_6	3.4	46034274	19649734	46034274	4580661364	4712412	4535872512	0.9777813385639305
VPA_SIM_1	3.4	48193510	20963624	48193510	4795948741	5224754	4760162434	0.7461778457736022
VPA_SIM_2	3.4	55684212	23299865	55684212	5541764398	7825943	5490341841	0.9279094762411443
VPA_SIM_3	3.4	45320435	19938498	45320435	4510018198	4377956	4475766510	0.7594578668261063
VPA_SIM_5	3.4	52980047	22938597	52980047	5271713746	5137618	5229099800	0.8083509092718479
VPA_SIM_6	3.4	51099205	22273004	51099205	5084734264	5022482	5046603458	0.7499075471842592
VS_GEM_50_TAX_10_1	3.4	53423942	21912504	53423942	5316093721	7339336	5257023701	1.1111546014822413
VS_GEM_50_TAX_10_2	3.4	56128791	24290552	56128791	5585374883	6526385	5516187081	1.2387315703836528
VS_GEM_50_TAX_10_3	3.4	49081492	21538614	49081492	4884004396	4383990	4845604635	0.7862351850348335
VS_GEM_50_TAX_10_4	3.4	53214576	22750468	53214576	5295017967	5594175	5247614116	0.8952538271906492
VS_GEM_50_TAX_10_5	3.4	48493092	20578555	48493092	4825305838	5552358	4777731064	0.9859431836494505
VS_GEM_50_TAX_10_6	3.4	54232013	23643775	54232013	5396243135	5526831	5332075359	1.1891194372582694
