Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
CTR_1	CTR_1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	43721594.0	0.0	20-100	47.0	61.03973907794534	98.31510671820428	pass	pass	pass	pass	fail	fail	pass	warn	warn	warn	pass
CTR_2	CTR_2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	39068621.0	0.0	20-100	48.0	60.66311400928874	98.28811572335763	pass	pass	pass	pass	fail	fail	pass	warn	warn	warn	pass
CTR_3	CTR_3_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	39082427.0	0.0	20-100	47.0	65.06995531450974	98.26862553853168	pass	pass	pass	pass	fail	fail	pass	warn	warn	warn	pass
CTR_4	CTR_4_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	41527998.0	0.0	20-100	49.0	56.83407672522787	98.27747713723161	pass	pass	pass	pass	fail	fail	pass	warn	warn	warn	pass
CTR_5	CTR_5_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	52173561.0	0.0	20-100	46.0	61.838345869417864	98.28238889041904	pass	pass	pass	pass	fail	fail	pass	warn	warn	warn	pass
CTR_6	CTR_6_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	45484477.0	0.0	20-100	47.0	64.05725119493917	98.25896865869207	pass	pass	pass	pass	fail	fail	pass	warn	warn	warn	pass
GEM_50_TAX_10_1	GEM_50_TAX_10_1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	53236463.0	0.0	20-100	46.0	63.43315198055177	98.31163234867802	pass	pass	pass	pass	fail	fail	pass	warn	warn	warn	pass
GEM_50_TAX_10_2	GEM_50_TAX_10_2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	359648108.0	0.0	20-100	48.0	43.22187689883236	98.29732200342897	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
GEM_50_TAX_10_3	GEM_50_TAX_10_3_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	44898622.0	0.0	20-100	47.0	65.14508733797818	98.30042249403556	pass	pass	pass	pass	fail	fail	pass	warn	warn	warn	pass
GEM_50_TAX_10_5	GEM_50_TAX_10_5_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	40784641.0	0.0	20-100	46.0	65.41183233532738	98.32049942526159	pass	pass	pass	pass	fail	fail	pass	warn	warn	warn	pass
GEM_50_TAX_10_6	GEM_50_TAX_10_6_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	50819508.0	0.0	20-100	48.0	60.81359842378525	98.31205524461197	pass	pass	pass	pass	fail	fail	pass	warn	warn	warn	pass
SIM_1	SIM_1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	54341908.0	0.0	20-100	47.0	61.14777125590095	98.30221379050585	pass	pass	pass	pass	fail	fail	pass	warn	warn	warn	pass
