Sample	Samtools_mqc-generalstats-samtools-flagstat_total	Samtools_mqc-generalstats-samtools-mapped_passed	Biotype Counts_mqc-generalstats-biotype_counts-percent_rRNA	DupRadar_mqc-generalstats-dupradar-dupRadar_intercept	Picard_mqc-generalstats-picard-PERCENT_DUPLICATION	QualiMap_mqc-generalstats-qualimap-5_3_bias	QualiMap_mqc-generalstats-qualimap-reads_aligned	Samtools_mqc-generalstats-samtools-error_rate	Samtools_mqc-generalstats-samtools-non_primary_alignments	Samtools_mqc-generalstats-samtools-reads_mapped	Samtools_mqc-generalstats-samtools-reads_mapped_percent	Samtools_mqc-generalstats-samtools-reads_properly_paired_percent	Samtools_mqc-generalstats-samtools-reads_MQ0_percent	Samtools_mqc-generalstats-samtools-raw_total_sequences	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_duplicates	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_gc	FastQC (raw)_mqc-generalstats-fastqc_raw-avg_sequence_length	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_fails	FastQC (raw)_mqc-generalstats-fastqc_raw-total_sequences	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-percent_duplicates	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-percent_gc	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-avg_sequence_length	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-percent_fails	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-total_sequences
CTR_1	46361546	46361546	0.12818595948449918	0.0248500397584571	0.462187	0.8	39922910.0	0.004734501	6438636.0	39922910.0	100.0	0.0	0.9336493757594324	39922910.0	83.81	36644138.0	39.04182519618027	47.0	99.23028388918752	18.181818181818183	43773770.0	0.8192473462622758	38.96026092205466	47.0	98.31510671820428	18.181818181818183	43721594.0
CTR_2	42392961	42392961	0.09904951351310833	0.0296786140338967	0.461389	0.8	35039494.0	0.004724652	7353467.0	35039494.0	100.0	0.0	1.114334014069952	35039494.0	81.32	31769123.0	39.917441129995154	48.0	99.22873968968246	18.181818181818183	39426647.0	1.629304230649315	39.33688599071126	48.0	98.28811572335763	18.181818181818183	39068621.0
CTR_3	40981719	40981719	0.15752500166988237	0.0386044371765903	0.411518	0.82	35965946.0	0.005136594	5015773.0	35965946.0	100.0	0.0	0.9972961645440941	35965946.0	85.95	33590820.0	35.902377750106	47.0	99.25367100656096	18.181818181818183	39645666.0	2.1724293472803096	34.93004468549026	47.0	98.26862553853168	18.181818181818183	39082427.0
CTR_4	43928072	43928072	0.21462702268263914	0.0327594772985409	0.492805	0.78	37034382.0	0.007450231	6893690.0	37034382.0	100.0	0.0	1.1508819021200354	37034382.0	80.86	33577541.0	43.54427606157074	48.0	99.22944121292892	18.181818181818183	41785004.0	1.3547315737417662	43.16592327477213	49.0	98.27747713723161	18.181818181818183	41527998.0
CTR_5	55741667	55741667	0.09964943423439157	0.0362207054640661	0.465917	0.82	47995743.0	0.004416652	7745924.0	47995743.0	100.0	0.0	1.1275020786739358	47995743.0	85.23	44465401.0	38.61527178062264	46.0	99.51972063043114	18.181818181818183	52524690.0	1.4101906952384107	38.161654130582136	46.0	98.28238889041904	18.181818181818183	52173561.0
CTR_6	47276752	47276752	0.12439422726089554	0.0378312889491361	0.415315	0.82	41209936.0	0.0044559	6066816.0	41209936.0	100.0	0.0	1.0158618057548063	41209936.0	84.63	38495647.0	36.713900426103486	47.0	99.52135232422862	18.181818181818183	46006748.0	1.8982745635104177	35.94274880506083	47.0	98.25896865869207	18.181818181818183	45484477.0
GEM_50_TAX_10_1	54505098	54505098	0.06351885619743962	0.0268918503102786	0.444231	0.8	47200293.0	0.004800171	7304805.0	47200293.0	100.0	0.0	1.0345507812843449	47200293.0	82.16	43741086.0	36.64245358447354	46.0	99.24183514370243	18.181818181818183	53282781.0	0.7937447930664007	36.56684801944823	46.0	98.31163234867802	18.181818181818183	53236463.0
GEM_50_TAX_10_2	375870209	375870209	0.1185933256331165	0.0388622480261194	0.671894	0.83	319337201.0	0.004927244	56533008.0	319337201.0	100.0	0.0	1.1545516740468955	319337201.0	82.15	295434988.0	56.85669835567278	47.0	99.22629067178958	27.27272727272727	360129162.0	0.8463470390314463	56.77812310116764	48.0	98.29732200342897	27.27272727272727	359648108.0
GEM_50_TAX_10_3	44763186	44763186	0.11530276057372206	0.0270640996874596	0.412146	0.79	39407346.0	0.005159831	5355840.0	39407346.0	100.0	0.0	0.8230394404129626	39407346.0	81.88	36764644.0	34.96788738191522	47.0	99.23524532908151	18.181818181818183	44970759.0	0.875990454295508	34.85491266202182	47.0	98.30042249403556	18.181818181818183	44898622.0
GEM_50_TAX_10_5	41920465	41920465	0.07702116244630383	0.0223485874299042	0.41919	0.8	37105812.0	0.004725357	4814653.0	37105812.0	100.0	0.0	0.7586816857693345	37105812.0	85.03	34677734.0	34.63832005226473	46.0	99.51297966526418	18.181818181818183	40812185.0	0.7676298857870959	34.588167664672625	46.0	98.32049942526159	18.181818181818183	40784641.0
GEM_50_TAX_10_6	52954809	52954809	0.1367637029304009	0.0254875654245172	0.458083	0.83	45172966.0	0.005003335	7781843.0	45172966.0	100.0	0.0	0.992494050534561	45172966.0	81.54	41438941.0	39.28377221824705	48.0	99.23244158291497	18.181818181818183	50883744.0	0.8305339448869994	39.18640157621475	48.0	98.31205524461197	18.181818181818183	50819508.0
SIM_1	58080083	58080083	0.11163395096145678	0.0275576294605041	0.45141	0.81	48895231.0	0.004593031	9184852.0	48895231.0	100.0	0.0	1.3412903192951475	48895231.0	82.49	44826434.0	38.90861698473779	47.0	99.23503952816856	18.181818181818183	54377045.0	0.7786779266139425	38.85222874409905	47.0	98.30221379050585	18.181818181818183	54341908.0
SIM_2	54135319	54135319	0.18513842158539112	0.0240354866473028	0.422486	0.8	46287953.0	0.00467306	7847366.0	46287953.0	100.0	0.0	1.0750939882781163	46287953.0	82.43	42787149.0	37.76620846758193	48.0	99.22934137005605	18.181818181818183	52026514.0	0.962936124418997	37.60010285543216	48.0	98.27852773169725	18.181818181818183	51907930.0
SIM_3	52702657	52702657	0.09040257227204274	0.0205059967587182	0.43587	0.81	44781247.0	0.004320069	7921410.0	44781247.0	100.0	0.0	1.1947523480085314	44781247.0	85.37	41166581.0	35.98828052569033	46.0	99.50816013993152	18.181818181818183	48252175.0	0.7738676843732248	35.93013952921822	46.0	98.30869440760574	18.181818181818183	48219973.0
SIM_4	46899131	46899131	0.10046206920350216	0.0210950187444036	0.386699	0.75	41508759.0	0.004531309	5390372.0	41508759.0	100.0	0.0	0.9360699027402867	41508759.0	85.96	38988222.0	32.08051293123121	46.0	99.24982877542476	18.181818181818183	45379000.0	0.7581695441804623	32.040501259696825	46.0	98.31098174209748	18.181818181818183	45358277.0
SIM_5	43321186	43321186	0.06264866604566682	0.0208735009523723	0.38997	0.75	38141532.0	0.004346794	5179654.0	38141532.0	100.0	0.0	0.7931616380799805	38141532.0	86.98	35750654.0	32.21192063426298	45.0	99.25601680449196	18.181818181818183	41136620.0	0.7921688029755483	32.14092513567644	46.0	98.3180011119553	18.181818181818183	41102372.0
SIM_6	46995259	46995259	0.08692369158071628	0.0237079615413518	0.431845	0.83	41365600.0	0.00534958	5629659.0	41365600.0	100.0	0.0	0.7661220917864119	41365600.0	81.88	38502145.0	35.289450105103654	46.0	99.2432506322367	18.181818181818183	47038554.0	0.7302950175900461	35.2513964550584	46.0	98.32474338980172	18.181818181818183	47022001.0
VPA_1	43284112	43284112	0.14330178760627504	0.0298077009772913	0.467369	0.87	34922962.0	0.00515487	8361150.0	34922962.0	100.0	0.0	1.5160426541139322	34922962.0	79.99	31447987.0	38.36040556975161	47.0	99.23586440687347	18.181818181818183	39746705.0	1.8394050761795147	37.64218204090164	47.0	98.25426654469284	18.181818181818183	39315538.0
VPA_2	43968588	43968588	0.19421749941540437	0.0365414169111441	0.450561	0.81	35706920.0	0.004717179	8261668.0	35706920.0	100.0	0.0	1.5494811649954687	35706920.0	81.42	32343600.0	39.97496960734262	48.0	99.51110477380622	18.181818181818183	40444813.0	2.5447936443898422	38.81083999598859	48.0	98.24729729457576	18.181818181818183	39723160.0
VPA_3	58542705	58542705	0.21645377602981727	0.0367392146476377	0.47709	0.83	47344116.0	0.004650096	11198589.0	47344116.0	100.0	0.0	1.6407149729018067	47344116.0	81.99	42918089.0	42.46638957065054	49.0	99.2479042526374	27.27272727272727	54168385.0	4.2162587260086415	40.36531466109925	48.0	98.14865863840444	18.181818181818183	52344163.0
VPA_4	53140406	53140406	0.10932011809991139	0.0409378647259749	0.430235	0.81	46208956.0	0.004478475	6931450.0	46208956.0	100.0	0.0	1.0710607701243022	46208956.0	85.86	43120719.0	36.87741691847841	47.0	99.25052828694356	18.181818181818183	50641986.0	1.566658780582668	36.31796636904203	47.0	98.28629671507429	18.181818181818183	50220192.0
VPA_5	40745806	40745806	0.03723079478522103	0.0503002050882685	0.457901	0.83	35524093.0	0.004355899	5221713.0	35524093.0	100.0	0.0	0.9112970174917625	35524093.0	86.1	32987921.0	38.44077212963975	46.0	99.25245715442138	18.181818181818183	38601766.0	1.4479061803589153	37.95123535033974	46.0	98.31929891698276	18.181818181818183	38313979.0
VPA_6	47146736	47146736	0.13022259801606545	0.0416972468313843	0.467235	0.76	41319850.0	0.004795498	5826886.0	41319850.0	100.0	0.0	0.7252373859053215	41319850.0	83.5	38332538.0	40.570660780244296	48.0	99.22452210281409	18.181818181818183	46034274.0	0.9777813385639305	40.39460707271966	48.0	98.30604722279546	18.181818181818183	45909438.0
VPA_SIM_1	48195785	48195785	0.10634768058350476	0.0199448216861555	0.389235	0.78	42838767.0	0.004806397	5357018.0	42838767.0	100.0	0.0	0.8001747575974818	42838767.0	83.66	40303918.0	33.2340517590703	47.0	99.24397106581364	18.181818181818183	48193510.0	0.7461778457736022	33.202595494572876	47.0	98.30986249823127	18.181818181818183	48177053.0
VPA_SIM_2	48512185	48512185	0.012389958601624564	0.141203908318105	0.472529	0.84	42928191.0	0.006112006	5583994.0	42928191.0	100.0	0.0	0.8804214461308187	42928191.0	72.51	40307074.0	44.875170953389734	50.0	99.243632144781	18.181818181818183	55684212.0	0.9279094762411443	44.75003689135121	50.0	98.28123676074553	18.181818181818183	55585173.0
VPA_SIM_3	47603409	47603409	0.06767939899329878	0.0204365541607359	0.40239	0.8	42010389.0	0.004311397	5593020.0	42010389.0	100.0	0.0	0.931333913618367	42010389.0	86.83	39328404.0	33.834221501197945	46.0	99.51400947497525	18.181818181818183	45320435.0	0.7594578668261063	33.78348584599334	46.0	98.31916911827935	18.181818181818183	45295015.0
VPA_SIM_5	56415332	56415332	0.09440789458434147	0.0238135871556679	0.457705	0.82	47432852.0	0.004587349	8982480.0	47432852.0	100.0	0.0	1.2616825148949509	47432852.0	81.8	43295768.0	38.87389571958138	47.0	99.22812929931905	18.181818181818183	52980047.0	0.8083509092718479	38.79675957332553	47.0	98.29854629385787	18.181818181818183	52929473.0
VPA_SIM_6	53618240	53618240	0.06921741393296975	0.0254420269845396	0.43798	0.81	46276694.0	0.004581442	7341546.0	46276694.0	100.0	0.0	0.9647015839117635	46276694.0	83.62	42710178.0	36.82105411632136	47.0	99.23498621945292	18.181818181818183	51099205.0	0.7499075471842592	36.78269268645632	47.0	98.3108152411678	18.181818181818183	51075745.0
VS_GEM_50_TAX_10_1	49862064	49862064	0.013299397740936395	0.0613534843917949	0.42705	0.74	43959117.0	0.005353573	5902947.0	43959117.0	100.0	0.0	0.993887115612445	43959117.0	77.35	41171423.0	40.93968807548101	51.0	99.2199430360268	18.181818181818183	53423942.0	1.1111546014822413	40.69097113768093	51.0	98.25563728608326	18.181818181818183	53230756.0
VS_GEM_50_TAX_10_2	54250263	54250263	0.0066396980533897365	0.0636232154556935	0.455506	0.79	46485587.0	0.005326436	7764676.0	46485587.0	100.0	0.0	1.0907725011625646	46485587.0	76.92	42960864.0	40.3760842200682	49.0	99.23328300443885	18.181818181818183	56128791.0	1.2387315703836528	40.04570762745369	49.0	98.27065085307524	18.181818181818183	55849763.0
VS_GEM_50_TAX_10_3	50687815	50687815	0.07220782912059528	0.0231495844209016	0.438396	0.83	43562735.0	0.005224326	7125080.0	43562735.0	100.0	0.0	1.0693245040744113	43562735.0	82.02	40223568.0	35.644723754042644	46.0	99.2371072582716	18.181818181818183	49081492.0	0.7862351850348335	35.57916337298363	46.0	98.31450811248713	18.181818181818183	49039708.0
VS_GEM_50_TAX_10_4	54303942	54303942	0.2592238019692561	0.0243793752303576	0.43964	0.8	46322268.0	0.005365105	7981674.0	46322268.0	100.0	0.0	1.1387870732063465	46322268.0	80.28	42647775.0	37.551492615797386	48.0	99.50315054657206	18.181818181818183	53214576.0	0.8952538271906492	37.4217141850212	49.0	98.28405505995714	18.181818181818183	53124778.0
VS_GEM_50_TAX_10_5	48182647	48182647	0.20821642268424542	0.0239622609473261	0.407517	0.76	42397036.0	0.005136185	5785611.0	42397036.0	100.0	0.0	0.9340794483840804	42397036.0	81.8	39568042.0	36.102201536245616	49.0	99.22424723917378	18.181818181818183	48493092.0	0.9859431836494505	35.914815303253704	49.0	98.27746794594093	18.181818181818183	48370863.0
VS_GEM_50_TAX_10_6	57151292	57151292	0.2340004273926349	0.0241413061045513	0.44895	0.83	47650886.0	0.004990472	9500406.0	47650886.0	100.0	0.0	1.3125023530517355	47650886.0	80.74	43595323.0	37.9206531230443	48.0	99.22695043608283	18.181818181818183	54232013.0	1.1891194372582694	37.60258094123654	48.0	98.2562476912174	18.181818181818183	53994906.0
