Sample	LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
CTR_1	Unknown Library	39922910.0	0.0	6438636.0	0.0	18451855.0	0.0	0.0	0.462187	
CTR_2	Unknown Library	35039494.0	0.0	7353467.0	0.0	16166844.0	0.0	0.0	0.461389	
CTR_3	Unknown Library	35965946.0	0.0	5015773.0	0.0	14800625.0	0.0	0.0	0.411518	
CTR_4	Unknown Library	37034382.0	0.0	6893690.0	0.0	18250715.0	0.0	0.0	0.492805	
CTR_5	Unknown Library	47995743.0	0.0	7745924.0	0.0	22362037.0	0.0	0.0	0.465917	
CTR_6	Unknown Library	41209936.0	0.0	6066816.0	0.0	17115099.0	0.0	0.0	0.415315	
GEM_50_TAX_10_1	Unknown Library	47200293.0	0.0	7304805.0	0.0	20967848.0	0.0	0.0	0.444231	
GEM_50_TAX_10_2	Unknown Library	319337201.0	0.0	56533008.0	0.0	214560645.0	0.0	0.0	0.671894	
GEM_50_TAX_10_3	Unknown Library	39407346.0	0.0	5355840.0	0.0	16241567.0	0.0	0.0	0.412146	
GEM_50_TAX_10_5	Unknown Library	37105812.0	0.0	4814653.0	0.0	15554378.0	0.0	0.0	0.41919	
GEM_50_TAX_10_6	Unknown Library	45172966.0	0.0	7781843.0	0.0	20692961.0	0.0	0.0	0.458083	
SIM_1	Unknown Library	48895231.0	0.0	9184852.0	0.0	22071792.0	0.0	0.0	0.45141	
SIM_2	Unknown Library	46287953.0	0.0	7847366.0	0.0	19556031.0	0.0	0.0	0.422486	
SIM_3	Unknown Library	44781247.0	0.0	7921410.0	0.0	19518801.0	0.0	0.0	0.43587	
SIM_4	Unknown Library	41508759.0	0.0	5390372.0	0.0	16051377.0	0.0	0.0	0.386699	
SIM_5	Unknown Library	38141532.0	0.0	5179654.0	0.0	14874062.0	0.0	0.0	0.38997	
SIM_6	Unknown Library	41365600.0	0.0	5629659.0	0.0	17863545.0	0.0	0.0	0.431845	
VPA_1	Unknown Library	34922962.0	0.0	8361150.0	0.0	16321913.0	0.0	0.0	0.467369	
VPA_2	Unknown Library	35706920.0	0.0	8261668.0	0.0	16088162.0	0.0	0.0	0.450561	
VPA_3	Unknown Library	47344116.0	0.0	11198589.0	0.0	22587389.0	0.0	0.0	0.47709	
VPA_4	Unknown Library	46208956.0	0.0	6931450.0	0.0	19880707.0	0.0	0.0	0.430235	
VPA_5	Unknown Library	35524093.0	0.0	5221713.0	0.0	16266519.0	0.0	0.0	0.457901	
VPA_6	Unknown Library	41319850.0	0.0	5826886.0	0.0	19306076.0	0.0	0.0	0.467235	
VPA_SIM_1	Unknown Library	42838767.0	0.0	5357018.0	0.0	16674332.0	0.0	0.0	0.389235	
VPA_SIM_2	Unknown Library	42928191.0	0.0	5583994.0	0.0	20284801.0	0.0	0.0	0.472529	
VPA_SIM_3	Unknown Library	42010389.0	0.0	5593020.0	0.0	16904558.0	0.0	0.0	0.40239	
VPA_SIM_5	Unknown Library	47432852.0	0.0	8982480.0	0.0	21710272.0	0.0	0.0	0.457705	
VPA_SIM_6	Unknown Library	46276694.0	0.0	7341546.0	0.0	20268258.0	0.0	0.0	0.43798	
VS_GEM_50_TAX_10_1	Unknown Library	43959117.0	0.0	5902947.0	0.0	18772747.0	0.0	0.0	0.42705	
VS_GEM_50_TAX_10_2	Unknown Library	46485587.0	0.0	7764676.0	0.0	21174455.0	0.0	0.0	0.455506	
VS_GEM_50_TAX_10_3	Unknown Library	43562735.0	0.0	7125080.0	0.0	19097717.0	0.0	0.0	0.438396	
VS_GEM_50_TAX_10_4	Unknown Library	46322268.0	0.0	7981674.0	0.0	20365104.0	0.0	0.0	0.43964	
VS_GEM_50_TAX_10_5	Unknown Library	42397036.0	0.0	5785611.0	0.0	17277493.0	0.0	0.0	0.407517	
VS_GEM_50_TAX_10_6	Unknown Library	47650886.0	0.0	9500406.0	0.0	21392845.0	0.0	0.0	0.44895	
