Sample	total_records	qc_failed	optical_pcr_duplicate	non_primary_hits	unmapped_reads	mapq_lt_mapq_cut_non-unique	mapq_gte_mapq_cut_unique	read_1	read_2	reads_map_to_sense	reads_map_to_antisense	non-splice_reads	splice_reads	reads_mapped_in_proper_pairs	proper-paired_reads_map_to_different_chrom	unique_percent	proper_pairs_percent
CTR_1	46361546	0	18451855	6438636	0	603405	20867650	0	0	10295438	10572212	18833528	2034122	0	0	45.0106862269002	0.0
CTR_2	42392961	0	16166844	7353467	0	542023	18330627	0	0	9040374	9290253	16493827	1836800	0	0	43.239789265958564	0.0
CTR_3	40981719	0	14800625	5015773	0	600082	20565239	0	0	10130758	10434481	18933628	1631611	0	0	50.181494338975874	0.0
CTR_4	43928072	0	18250715	6893690	0	533962	18249705	0	0	9016909	9232796	16478191	1771514	0	0	41.54451622643489	0.0
CTR_5	55741667	0	22362037	7745924	0	706347	24927359	0	0	12313603	12613756	22777066	2150293	0	0	44.719435821680754	0.0
CTR_6	47276752	0	17115099	6066816	0	673703	23421134	0	0	11540844	11880290	21609087	1812047	0	0	49.54048873746657	0.0
GEM_50_TAX_10_1	54505098	0	20967848	7304805	0	728003	25504442	0	0	12576291	12928151	23272674	2231768	0	0	46.79276422913688	0.0
GEM_50_TAX_10_2	375870209	0	214560645	56533008	0	2868106	101908450	0	0	49912940	51995510	96504452	5403998	0	0	27.112670161098084	0.0
GEM_50_TAX_10_3	44763186	0	16241567	5355840	0	650315	22515464	0	0	11078902	11436562	20593452	1922012	0	0	50.29906495038132	0.0
GEM_50_TAX_10_5	41920465	0	15554378	4814653	0	590754	20960680	0	0	10326487	10634193	18988039	1972641	0	0	50.0010674977007	0.0
GEM_50_TAX_10_6	52954809	0	20692961	7781843	0	689903	23790102	0	0	11720568	12069534	21656860	2133242	0	0	44.925290921170166	0.0
SIM_1	58080083	0	22071792	9184852	0	754703	26068736	0	0	12818930	13249806	23957916	2110820	0	0	44.88412318556776	0.0
SIM_2	54135319	0	19556031	7847366	0	745213	25986709	0	0	12767632	13219077	24043510	1943199	0	0	48.00324350171466	0.0
SIM_3	52702657	0	19518801	7921410	0	695516	24566930	0	0	12096235	12470695	22445658	2121272	0	0	46.61421529468618	0.0
SIM_4	46899131	0	16051377	5390372	0	696020	24761362	0	0	12184109	12577253	22952669	1808693	0	0	52.79705928879578	0.0
SIM_5	43321186	0	14874062	5179654	0	641464	22626006	0	0	11153356	11472650	20825475	1800531	0	0	52.22850085406249	0.0
SIM_6	46995259	0	17863545	5629659	0	638421	22863634	0	0	11301895	11561739	20799548	2064086	0	0	48.65093732114552	0.0
VPA_1	43284112	0	16321913	8361150	0	541648	18059401	0	0	8920853	9138548	16100466	1958935	0	0	41.7229328858589	0.0
VPA_2	43968588	0	16088162	8261668	0	571067	19047691	0	0	9393110	9654581	17217445	1830246	0	0	43.321134169694055	0.0
VPA_3	58542705	0	22587389	11198589	0	707888	24048839	0	0	11824899	12223940	21880175	2168664	0	0	41.07913872445764	0.0
VPA_4	53140406	0	19880707	6931450	0	734192	25594057	0	0	12607539	12986518	23631721	1962336	0	0	48.163081403630976	0.0
VPA_5	40745806	0	16266519	5221713	0	534243	18723331	0	0	9254180	9469151	16916707	1806624	0	0	45.95155388507961	0.0
VPA_6	47146736	0	19306076	5826886	0	635355	21378419	0	0	10517259	10861160	19482539	1895880	0	0	45.34443063036219	0.0
VPA_SIM_1	48195785	0	16674332	5357018	0	729916	25434519	0	0	12501926	12932593	23517961	1916558	0	0	52.7733265471244	0.0
VPA_SIM_2	48512185	0	20284801	5583994	0	710034	21933356	0	0	10776112	11157244	20421230	1512126	0	0	45.212055486678246	0.0
VPA_SIM_3	47603409	0	16904558	5593020	0	692868	24412963	0	0	12016276	12396687	22545118	1867845	0	0	51.28406455092323	0.0
VPA_SIM_5	56415332	0	21710272	8982480	0	715114	25007466	0	0	12318907	12688559	22829248	2178218	0	0	44.32742857916709	0.0
VPA_SIM_6	53618240	0	20268258	7341546	0	711306	25297130	0	0	12446761	12850369	23201990	2095140	0	0	47.1800827479604	0.0
VS_GEM_50_TAX_10_1	49862064	0	18772747	5902947	0	774299	24412071	0	0	11981585	12430486	22591117	1820954	0	0	48.959206742825565	0.0
VS_GEM_50_TAX_10_2	54250263	0	21174455	7764676	0	741609	24569523	0	0	12077907	12491616	22520820	2048703	0	0	45.289223759154865	0.0
VS_GEM_50_TAX_10_3	50687815	0	19097717	7125080	0	676210	23788808	0	0	11736152	12052656	21613898	2174910	0	0	46.93200525609557	0.0
VS_GEM_50_TAX_10_4	54303942	0	20365104	7981674	0	737489	25219675	0	0	12406850	12812825	23094159	2125516	0	0	46.441702151199266	0.0
VS_GEM_50_TAX_10_5	48182647	0	17277493	5785611	0	725961	24393582	0	0	11981368	12412214	22511161	1882421	0	0	50.62731817120799	0.0
VS_GEM_50_TAX_10_6	57151292	0	21392845	9500406	0	742438	25515603	0	0	12551909	12963694	23172352	2343251	0	0	44.64571509599468	0.0
