Sample	se_sense	se_antisense	failed
CTR_1	0.0202	0.9138	0.066
CTR_2	0.0206	0.9137	0.0657
CTR_3	0.0223	0.9157	0.062
CTR_4	0.0195	0.9142	0.0663
CTR_5	0.0217	0.9275	0.0508
CTR_6	0.0239	0.9268	0.0493
GEM_50_TAX_10_1	0.0225	0.9278	0.0497
GEM_50_TAX_10_2	0.0541	0.901	0.0449
GEM_50_TAX_10_3	0.0211	0.932	0.047
GEM_50_TAX_10_5	0.0178	0.9184	0.0638
GEM_50_TAX_10_6	0.0234	0.9261	0.0505
SIM_1	0.0251	0.9246	0.0503
SIM_2	0.0275	0.9237	0.0487
SIM_3	0.0216	0.9276	0.0508
SIM_4	0.0246	0.9271	0.0483
SIM_5	0.0203	0.9315	0.0482
SIM_6	0.0193	0.9285	0.0522
VPA_1	0.0182	0.9183	0.0635
VPA_2	0.0231	0.9113	0.0656
VPA_3	0.0221	0.9244	0.0534
VPA_4	0.0246	0.9255	0.0499
VPA_5	0.018	0.9171	0.0649
VPA_6	0.0224	0.9268	0.0508
VPA_SIM_1	0.0259	0.9254	0.0487
VPA_SIM_2	0.0263	0.9276	0.0461
VPA_SIM_3	0.0238	0.925	0.0512
VPA_SIM_5	0.0257	0.9246	0.0497
VPA_SIM_6	0.0244	0.9237	0.052
VS_GEM_50_TAX_10_1	0.035	0.9234	0.0416
VS_GEM_50_TAX_10_2	0.0262	0.9278	0.0459
VS_GEM_50_TAX_10_3	0.0195	0.9301	0.0504
VS_GEM_50_TAX_10_4	0.0248	0.9294	0.0458
VS_GEM_50_TAX_10_5	0.0257	0.9304	0.0439
VS_GEM_50_TAX_10_6	0.0212	0.9269	0.0518
