Sample	total_splicing_events	known_splicing_events	partial_novel_splicing_events	novel_splicing_events	total_splicing_junctions	known_splicing_junctions	partial_novel_splicing_junctions	novel_splicing_junctions	known_splicing_events_pct	partial_novel_splicing_events_pct	novel_splicing_events_pct	known_splicing_junctions_pct	partial_novel_splicing_junctions_pct	novel_splicing_junctions_pct
CTR_1	2184909	2128395	25825	27097	188976	153201	16944	18831	97.41343918671213	1.1819714230661322	1.240188950661103	81.06902463804929	8.966217932435864	9.964757429514858
CTR_2	1972743	1919672	24185	25641	183812	149422	16009	18381	97.30978642428335	1.225957968169194	1.2997638313759066	81.29066655060605	8.70944225621831	9.999891193175635
CTR_3	1751400	1699567	21123	27087	179660	146144	14093	19423	97.04048190019414	1.2060637204522096	1.5465912983898595	81.34476232884337	7.8442613826116006	10.81097628854503
CTR_4	1902248	1853397	21682	23886	178705	147233	14484	16988	97.43193316539168	1.139809320340986	1.2556722362173596	82.38885313785289	8.104977476847317	9.506169385299795
CTR_5	2310078	2246166	28062	31514	194823	154581	17985	22257	97.23334017292923	1.2147641767940305	1.3641963604692138	79.34432792842733	9.231456244899217	11.424215826673443
CTR_6	1945392	1885590	24656	30975	187576	149818	15961	21797	96.92596659182314	1.2674052324672869	1.5922240864566113	79.87055913336461	8.509084317823175	11.620356548812214
GEM_50_TAX_10_1	2394585	2324748	29145	35721	203205	158565	18896	25744	97.08354474783731	1.217121129548544	1.491740740044726	78.03203661327231	9.298983784847813	12.668979601879876
GEM_50_TAX_10_2	5793873	5421720	136330	209748	393305	205910	63682	123713	93.57678361261974	2.353002904965297	3.620169099322681	52.35377124623384	16.191505320298496	31.454723433467663
GEM_50_TAX_10_3	2062389	2001271	24748	31905	193423	153947	16365	23111	97.0365435424646	1.1999676103780614	1.5469923472245053	79.59084493571085	8.460731143659233	11.948423920629915
GEM_50_TAX_10_5	2117088	2060158	24503	28354	191431	154231	16406	20794	97.31092897413806	1.1573916625100138	1.339292462098883	80.56741071195366	8.570189781174419	10.862399506871927
GEM_50_TAX_10_6	2290040	2222202	29288	34001	199298	156278	18899	24121	97.03769366473948	1.2789296256833942	1.4847338911110723	78.41423396120383	9.482784573854227	12.102981464941946
SIM_1	2264737	2195687	28727	35648	199529	156297	18431	24801	96.95108085397996	1.2684475062667322	1.5740459046679594	78.33297415413298	9.237253732540132	12.429772113326885
SIM_2	2084223	2014484	28009	36739	196057	152276	18053	25728	96.65395689424788	1.3438581188289354	1.762719248372175	77.6692492489429	9.208036438382715	13.122714312674374
SIM_3	2277127	2212991	27104	32450	196568	155945	17453	23170	97.18346846706399	1.1902717766729745	1.4250412910654522	79.33386919539295	8.87886125920801	11.787269545399047
SIM_4	1940924	1879537	25439	31515	187721	148988	16457	22276	96.8372280419017	1.310664405200822	1.62371118086025	79.3667197596433	8.76673360998503	11.86654663037167
SIM_5	1932098	1875816	23355	28883	184586	148218	15385	20983	97.08700076290127	1.2087896162617011	1.4949034676294888	80.29753069030154	8.334868299871061	11.367601009827398
SIM_6	2214307	2155300	25763	29262	189752	151992	16818	20942	97.33519335846384	1.1634791381682847	1.3214969739968305	80.10034149837682	8.863147687507904	11.036510814115266
VPA_1	2102950	2052379	23275	24241	187520	154425	15796	17299	97.59523526474713	1.1067785729570365	1.1527140445564565	82.35121587030717	8.42363481228669	9.225149317406144
VPA_2	1965605	1912589	23439	26180	185227	151154	15379	18694	97.30281516377909	1.1924572841440675	1.331905443870971	81.60473365114157	8.302785231094818	10.09248111776361
VPA_3	2328691	2261656	29158	33495	200993	158528	18665	23800	97.12134413711394	1.2521197531145178	1.438361723388805	78.87239854124273	9.286393058464723	11.841208400292548
VPA_4	2105562	2039691	27173	34142	193008	151817	17425	23766	96.87157158041416	1.2905343086548866	1.6215148259704535	78.65839757937495	9.028123186603663	12.313479234021388
VPA_5	1939671	1890451	22131	24015	181015	148741	14790	17484	97.46245626191245	1.140966689711812	1.2380965637987063	82.17053835317515	8.1705935972157	9.658868049609149
VPA_6	2035715	1973882	25999	31572	191001	152032	16821	22148	96.96259053944192	1.2771434115286275	1.5509047189808005	79.5974890183821	8.806760174030503	11.595750807587395
VPA_SIM_1	2055104	1989714	25828	34849	194971	153788	16777	24406	96.81816589330758	1.2567733798386846	1.6957292672292983	78.87737150653174	8.604869442122162	12.517759051346097
VPA_SIM_2	1617838	1554135	21759	37431	188199	147691	14396	26112	96.0624611364055	1.3449430659930104	2.3136432695980687	78.4759748989102	7.649349890275718	13.874675210814086
VPA_SIM_3	2004165	1942722	25242	31973	187908	149205	16222	22481	96.93423445674382	1.2594771388583277	1.5953277300022703	79.40321859633438	8.632948038401771	11.963833365263852
VPA_SIM_5	2337880	2267138	29785	36081	199685	155592	18843	25250	96.97409618971034	1.2740174859274214	1.5433212996389893	77.91872198712973	9.436362270576156	12.644915742294113
VPA_SIM_6	2248275	2182437	27937	33384	194235	152780	17854	23601	97.07162157654201	1.2425971022228153	1.4848717349968308	78.657296573738	9.191958194970011	12.15074523129199
VS_GEM_50_TAX_10_1	1948196	1872430	29548	41063	200424	153450	18835	28139	96.11096624774919	1.516685179519925	2.1077448059640815	76.56268710334092	9.397577136470682	14.039735760188401
VS_GEM_50_TAX_10_2	2194136	2124833	27670	36975	201563	157772	17972	25819	96.84144465065064	1.2610886471941574	1.6851735717384884	78.27428645138245	8.916318967270778	12.809394581346774
VS_GEM_50_TAX_10_3	2333759	2267824	27971	33109	199889	157888	18284	23717	97.17472969573979	1.198538495191663	1.4186983317471942	78.98783825022888	9.147076627528278	11.865085122242846
VS_GEM_50_TAX_10_4	2279719	2207997	30190	36717	203759	158543	19453	25763	96.85391050388228	1.3242860194611703	1.6105932353943622	77.8090783719983	9.547062951820532	12.643858676181175
VS_GEM_50_TAX_10_5	2017997	1948686	27782	36507	198798	155152	17958	25688	96.56535663829034	1.376711660126353	1.8090710739411406	78.04505075503778	9.033290073340778	12.921659171621444
VS_GEM_50_TAX_10_6	2514133	2441340	31099	36726	208479	162011	20124	26344	97.10464800390433	1.2369671771541124	1.4607819077192814	77.71094450760029	9.652770782668759	12.636284709730955
