Sample	total_reads	total_tags	total_assigned_tags	cds_exons_total_bases	cds_exons_tag_count	cds_exons_tags_kb	5_utr_exons_total_bases	5_utr_exons_tag_count	5_utr_exons_tags_kb	3_utr_exons_total_bases	3_utr_exons_tag_count	3_utr_exons_tags_kb	introns_total_bases	introns_tag_count	introns_tags_kb	tss_up_1kb_total_bases	tss_up_1kb_tag_count	tss_up_1kb_tags_kb	tss_up_5kb_tags_kb	tss_up_10kb_tags_kb	tes_down_1kb_total_bases	tes_down_1kb_tag_count	tes_down_1kb_tags_kb	tes_down_5kb_tags_kb	tes_down_10kb_tags_kb	other_intergenic_tag_count	cds_exons_tag_pct	5_utr_exons_tag_pct	3_utr_exons_tag_pct	introns_tag_pct	tss_up_1kb_tag_pct	tss_up_5kb_tag_pct	tss_up_10kb_tag_pct	tes_down_1kb_tag_pct	tes_down_5kb_tag_pct	tes_down_10kb_tag_pct	other_intergenic_tag_pct	tss_up_5kb-10kb_total_bases	tss_up_1kb-5kb_total_bases	tss_up_5kb-10kb_tag_count	tss_up_1kb-5kb_tag_count	tes_down_5kb-10kb_total_bases	tes_down_1kb-5kb_total_bases	tes_down_5kb-10kb_tag_count	tes_down_1kb-5kb_tag_count
CTR_1	21471055	24182975	23294918	99762973	7996560	80.16	5453418	128754	23.61	26900914	1711037	63.61	1506563580	12894873	8.56	33920391	33258	0.98	0.74	0.68	35777780	88454	2.47	1.74	1.4	888057	33.06689933724035	0.5324158834882805	7.075378442892159	53.32211194032165	0.13752650366631897	0.45945546401962534	0.7537327396649915	0.36576972022672977	1.1115009629708505	1.5772211648897625	3.6722404915028033	118193059	116769441	71165	77852	117175066	118821786	112625	180340
CTR_2	18872650	21309321	20549333	99762973	7214596	72.32	5453418	118748	21.77	26900914	1528447	56.82	1506563580	11216501	7.45	33920391	29926	0.88	0.64	0.59	35777780	73858	2.06	1.43	1.15	759988	33.856526916085215	0.5572584879640229	7.1726687114995356	52.63659503744863	0.14043619691120143	0.45507315789179764	0.7382168582471492	0.3465994998151279	1.0379401577366074	1.4722759115600164	3.566458077195421	118193059	116769441	60336	67047	117175066	118821786	92554	147320
CTR_3	21165321	23426908	22501007	99762973	6698923	67.15	5453418	118298	21.69	26900914	1375879	51.15	1506563580	13722798	9.11	33920391	33800	1.0	0.79	0.73	35777780	85890	2.4	1.75	1.43	925901	28.594994268983342	0.5049663404150475	5.873071256351884	58.577077265168754	0.14427853645901542	0.5072841879090488	0.8434830580288273	0.3666296892445217	1.1554448414617926	1.6541107345450796	3.952297076507066	118193059	116769441	78761	85041	117175066	118821786	116822	184795
CTR_4	18783667	21149063	20362088	99762973	6958653	69.75	5453418	114036	20.91	26900914	1541073	57.29	1506563580	11268557	7.48	33920391	29306	0.86	0.64	0.59	35777780	76098	2.13	1.48	1.19	786975	32.90289030771718	0.539201192979566	7.286719983764765	53.28158982740748	0.1385687867117328	0.45471518052596466	0.7445199818072319	0.3598173592844279	1.0788184800433003	1.5239918666845904	3.7210868396391836	118193059	116769441	61291	66862	117175066	118821786	94150	152062
CTR_5	25633706	28575969	27467222	99762973	8546641	85.67	5453418	144369	26.47	26900914	1930857	71.78	1506563580	16169941	10.73	33920391	38598	1.14	0.88	0.82	35777780	104177	2.91	2.06	1.68	1108747	29.90849059221754	0.5052112143598699	6.756925723148706	56.58580116740748	0.13507153510699846	0.4638162926338561	0.7699056504435597	0.364561565698787	1.1169979922640594	1.5936677422907337	3.879997910132112	118193059	116769441	87468	93942	117175066	118821786	136213	215016
CTR_6	24094837	26621880	25575373	99762973	7436278	74.54	5453418	137405	25.2	26900914	1513353	56.26	1506563580	15827616	10.51	33920391	37587	1.11	0.89	0.83	35777780	97237	2.72	1.98	1.61	1046507	27.932955899433097	0.516135599739763	5.684621071088894	59.45341200546318	0.14118837587728592	0.5024100476750702	0.8346668229291094	0.36525219105487666	1.1469550610249915	1.6472052311857766	3.931003370160184	118193059	116769441	88453	96164	117175066	118821786	133176	208104
GEM_50_TAX_10_1	26232445	29281572	28165710	99762973	8956881	89.78	5453418	145954	26.76	26900914	1978664	73.55	1506563580	16385259	10.88	33920391	40311	1.19	0.92	0.85	35777780	107050	2.99	2.12	1.73	1115862	30.58879830632044	0.49845001491040164	6.757369447241425	55.957579736497756	0.1376667892010716	0.4728810324800868	0.7802449950432989	0.36558829560106954	1.121066860754607	1.606757997828805	3.810799502157876	118193059	116769441	90001	98156	117175066	118821786	142218	221216
GEM_50_TAX_10_2	104776556	113272308	107974301	99762973	23960581	240.18	5453418	545320	100.0	26900914	5272628	196.0	1506563580	74808349	49.65	33920391	198316	5.85	4.64	4.3	35777780	468920	13.11	9.9	8.21	5298007	21.153079179776228	0.48142393284685253	4.654825255260095	66.04292816210648	0.17507897870325023	0.6178244377257679	1.0214288208906277	0.4139758501256989	1.3518114242008736	1.9690840942342236	4.6772305548854884	118193059	116769441	457172	501508	117175066	118821786	699199	1062308
GEM_50_TAX_10_3	23165779	25791313	24834838	99762973	7777987	77.96	5453418	134229	24.61	26900914	1565153	58.18	1506563580	14753018	9.79	33920391	36012	1.06	0.82	0.75	35777780	90457	2.53	1.81	1.48	956475	30.157390591165328	0.5204426777341657	6.068527802365083	57.201500365646375	0.1396284089918183	0.478796872419795	0.7834769792449108	0.3507266186874627	1.086846567291863	1.5601454644825565	3.708516119361585	118193059	116769441	78581	87476	117175066	118821786	122070	189855
GEM_50_TAX_10_5	21551434	24191577	23299785	99762973	7802331	78.21	5453418	125123	22.94	26900914	1704990	63.38	1506563580	13124503	8.71	33920391	33603	0.99	0.73	0.67	35777780	85266	2.38	1.65	1.33	891792	32.25226284338553	0.5172172115939362	7.047866288336639	54.25236643315977	0.1389037184305926	0.4570847117573195	0.7470864755943774	0.3524615199744936	1.055206115748469	1.4968267674323175	3.686373980497427	118193059	116769441	70156	76973	117175066	118821786	106835	170005
