Sample	total_passed	total_failed	secondary_passed	secondary_failed	supplementary_passed	supplementary_failed	duplicates_passed	duplicates_failed	mapped_passed	mapped_failed	mapped_passed_pct	mapped_failed_pct	paired in sequencing_passed	paired in sequencing_failed	read1_passed	read1_failed	read2_passed	read2_failed	properly paired_passed	properly paired_failed	properly paired_passed_pct	properly paired_failed_pct	with itself and mate mapped_passed	with itself and mate mapped_failed	singletons_passed	singletons_failed	singletons_passed_pct	singletons_failed_pct	with mate mapped to a different chr_passed	with mate mapped to a different chr_failed	with mate mapped to a different chr (mapQ >= 5)_passed	with mate mapped to a different chr (mapQ >= 5)_failed	flagstat_total
CTR_1	46361546	0	6438636	0	0	0	18451855	0	46361546	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	46361546
CTR_2	42392961	0	7353467	0	0	0	16166844	0	42392961	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	42392961
CTR_3	40981719	0	5015773	0	0	0	14800625	0	40981719	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	40981719
CTR_4	43928072	0	6893690	0	0	0	18250715	0	43928072	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	43928072
CTR_5	55741667	0	7745924	0	0	0	22362037	0	55741667	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	55741667
CTR_6	47276752	0	6066816	0	0	0	17115099	0	47276752	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	47276752
GEM_50_TAX_10_1	54505098	0	7304805	0	0	0	20967848	0	54505098	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	54505098
GEM_50_TAX_10_2	375870209	0	56533008	0	0	0	214560645	0	375870209	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	375870209
GEM_50_TAX_10_3	44763186	0	5355840	0	0	0	16241567	0	44763186	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	44763186
GEM_50_TAX_10_5	41920465	0	4814653	0	0	0	15554378	0	41920465	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	41920465
GEM_50_TAX_10_6	52954809	0	7781843	0	0	0	20692961	0	52954809	0	100.0	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	52954809
