Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	X	Y	MT	*
CTR_1	[3994547, 249250621]	[3466140, 243199373]	[2609385, 198022430]	[1675981, 191154276]	[2584918, 180915260]	[2595471, 171115067]	[2568447, 159138663]	[2097040, 146364022]	[2437178, 141213431]	[1521650, 135534747]	[2774298, 135006516]	[3147872, 133851895]	[735635, 115169878]	[4450535, 107349540]	[1266045, 102531392]	[1519631, 90354753]	[2268418, 81195210]	[431678, 78077248]	[916599, 59128983]	[968905, 63025520]	[504551, 48129895]	[664117, 51304566]	[878724, 155270560]	[26819, 59373566]	[256962, 16569]	[0, 0]
CTR_2	[3495236, 249250621]	[2927313, 243199373]	[2320298, 198022430]	[1406267, 191154276]	[2247023, 180915260]	[2305732, 171115067]	[2236540, 159138663]	[1863268, 146364022]	[2167789, 141213431]	[1294069, 135534747]	[2331808, 135006516]	[2602488, 133851895]	[639339, 115169878]	[4929074, 107349540]	[1093355, 102531392]	[1349251, 90354753]	[2919056, 81195210]	[363955, 78077248]	[856039, 59128983]	[885562, 63025520]	[454587, 48129895]	[607523, 51304566]	[767746, 155270560]	[29208, 59373566]	[300435, 16569]	[0, 0]
CTR_3	[3715795, 249250621]	[3227080, 243199373]	[2137168, 198022430]	[1575657, 191154276]	[2388846, 180915260]	[2019435, 171115067]	[2467743, 159138663]	[1990709, 146364022]	[1899637, 141213431]	[1385292, 135534747]	[2538634, 135006516]	[2665095, 133851895]	[666782, 115169878]	[2790079, 107349540]	[1115105, 102531392]	[1632228, 90354753]	[2385202, 81195210]	[378172, 78077248]	[831764, 59128983]	[918858, 63025520]	[549360, 48129895]	[571407, 51304566]	[795112, 155270560]	[47185, 59373566]	[289374, 16569]	[0, 0]
CTR_4	[3803264, 249250621]	[3334004, 243199373]	[2289890, 198022430]	[1500856, 191154276]	[2346011, 180915260]	[2162166, 171115067]	[2227819, 159138663]	[1912683, 146364022]	[2435253, 141213431]	[1278700, 135534747]	[2600602, 135006516]	[3076658, 133851895]	[628888, 115169878]	[4286176, 107349540]	[1056306, 102531392]	[1772808, 90354753]	[2447438, 81195210]	[371996, 78077248]	[864032, 59128983]	[839108, 63025520]	[887308, 48129895]	[536432, 51304566]	[793760, 155270560]	[141746, 59373566]	[334168, 16569]	[0, 0]
CTR_5	[4887159, 249250621]	[4333217, 243199373]	[3176541, 198022430]	[2175618, 191154276]	[3339702, 180915260]	[2955599, 171115067]	[3219094, 159138663]	[2646128, 146364022]	[2614118, 141213431]	[1866248, 135534747]	[3174212, 135006516]	[3494511, 133851895]	[935436, 115169878]	[4932869, 107349540]	[1534096, 102531392]	[1787019, 90354753]	[3219297, 81195210]	[531787, 78077248]	[1043767, 59128983]	[1134619, 63025520]	[565953, 48129895]	[739739, 51304566]	[1093673, 155270560]	[39414, 59373566]	[301851, 16569]	[0, 0]
CTR_6	[4280300, 249250621]	[3713878, 243199373]	[2525760, 198022430]	[1831600, 191154276]	[2767459, 180915260]	[2312186, 171115067]	[2887525, 159138663]	[2276188, 146364022]	[2093853, 141213431]	[1619568, 135534747]	[2819708, 135006516]	[2890557, 133851895]	[789005, 115169878]	[3475071, 107349540]	[1296959, 102531392]	[1768920, 90354753]	[3006620, 81195210]	[434698, 78077248]	[922044, 59128983]	[1072658, 63025520]	[537478, 48129895]	[664177, 51304566]	[916994, 155270560]	[27235, 59373566]	[346311, 16569]	[0, 0]
GEM_50_TAX_10_1	[4776279, 249250621]	[4163046, 243199373]	[3063406, 198022430]	[1956933, 191154276]	[3097209, 180915260]	[2844225, 171115067]	[3129028, 159138663]	[2551042, 146364022]	[2517230, 141213431]	[1852267, 135534747]	[3206647, 135006516]	[3370156, 133851895]	[847511, 115169878]	[5039894, 107349540]	[1522533, 102531392]	[1913899, 90354753]	[3137761, 81195210]	[529366, 78077248]	[1086700, 59128983]	[1175228, 63025520]	[567725, 48129895]	[770831, 51304566]	[1039835, 155270560]	[21010, 59373566]	[325337, 16569]	[0, 0]
GEM_50_TAX_10_2	[32383743, 249250621]	[27786872, 243199373]	[21523254, 198022430]	[12691558, 191154276]	[20108827, 180915260]	[18432890, 171115067]	[21381229, 159138663]	[17249773, 146364022]	[18418678, 141213431]	[12526596, 135534747]	[22311514, 135006516]	[23383455, 133851895]	[5592796, 115169878]	[37845572, 107349540]	[10214328, 102531392]	[14194192, 90354753]	[21401143, 81195210]	[3423117, 78077248]	[7741201, 59128983]	[8278232, 63025520]	[3931208, 48129895]	[5419213, 51304566]	[6824223, 155270560]	[180050, 59373566]	[2626545, 16569]	[0, 0]
GEM_50_TAX_10_3	[3976236, 249250621]	[3472317, 243199373]	[2480724, 198022430]	[1621043, 191154276]	[2593232, 180915260]	[2330549, 171115067]	[2666150, 159138663]	[2168582, 146364022]	[2079976, 141213431]	[1554508, 135534747]	[2654388, 135006516]	[2902252, 133851895]	[688606, 115169878]	[3457935, 107349540]	[1257586, 102531392]	[1683032, 90354753]	[2436709, 81195210]	[442907, 78077248]	[922949, 59128983]	[1040580, 63025520]	[531011, 48129895]	[654124, 51304566]	[855258, 155270560]	[27419, 59373566]	[265113, 16569]	[0, 0]
GEM_50_TAX_10_5	[3731189, 249250621]	[3331823, 243199373]	[2399375, 198022430]	[1592206, 191154276]	[2498466, 180915260]	[2428033, 171115067]	[2434529, 159138663]	[1969662, 146364022]	[1918251, 141213431]	[1449505, 135534747]	[2406609, 135006516]	[2638452, 133851895]	[645271, 115169878]	[3435590, 107349540]	[1194016, 102531392]	[1397546, 90354753]	[2126759, 81195210]	[439695, 78077248]	[858887, 59128983]	[919495, 63025520]	[467491, 48129895]	[599873, 51304566]	[809055, 155270560]	[22706, 59373566]	[205981, 16569]	[0, 0]
