Sample	raw_total_sequences	filtered_sequences	sequences	is_sorted	1st_fragments	last_fragments	reads_mapped	reads_mapped_and_paired	reads_unmapped	reads_properly_paired	reads_paired	reads_duplicated	reads_MQ0	reads_QC_failed	non-primary_alignments	supplementary_alignments	total_length	total_first_fragment_length	total_last_fragment_length	bases_mapped	bases_mapped_(cigar)	bases_trimmed	bases_duplicated	mismatches	error_rate	average_length	average_first_fragment_length	average_last_fragment_length	maximum_length	maximum_first_fragment_length	maximum_last_fragment_length	average_quality	insert_size_average	insert_size_standard_deviation	inward_oriented_pairs	outward_oriented_pairs	pairs_with_other_orientation	pairs_on_different_chromosomes	percentage_of_properly_paired_reads_(%)	reads_mapped_percent	reads_mapped_and_paired_percent	reads_unmapped_percent	reads_properly_paired_percent	reads_paired_percent	reads_duplicated_percent	reads_MQ0_percent	reads_QC_failed_percent
CTR_1	39922910.0	0.0	39922910.0	1.0	39922910.0	0.0	39922910.0	0.0	0.0	0.0	0.0	18451855.0	372740.0	0.0	6438636.0	0.0	3945271676.0	3945271676.0	0.0	3945271676.0	3930729313.0	0.0	1823507457.0	18610040.0	0.004734501	98.0	99.0	0.0	100.0	100.0	0.0	36.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	46.21871251369201	0.9336493757594324	0.0
CTR_2	35039494.0	0.0	35039494.0	1.0	35039494.0	0.0	35039494.0	0.0	0.0	0.0	0.0	16166844.0	390457.0	0.0	7353467.0	0.0	3461681023.0	3461681023.0	0.0	3461681023.0	3447981129.0	0.0	1597179187.0	16290509.0	0.004724652	98.0	99.0	0.0	100.0	100.0	0.0	36.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	46.1389197001532	1.114334014069952	0.0
CTR_3	35965946.0	0.0	35965946.0	1.0	35965946.0	0.0	35965946.0	0.0	0.0	0.0	0.0	14800625.0	358687.0	0.0	5015773.0	0.0	3552775506.0	3552775506.0	0.0	3552775506.0	3537486135.0	0.0	1461909420.0	18170628.0	0.005136594	98.0	99.0	0.0	100.0	100.0	0.0	36.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	41.15177451470344	0.9972961645440941	0.0
CTR_4	37034382.0	0.0	37034382.0	1.0	37034382.0	0.0	37034382.0	0.0	0.0	0.0	0.0	18250715.0	426222.0	0.0	6893690.0	0.0	3658224420.0	3658224420.0	0.0	3658224420.0	3636135540.0	0.0	1802524257.0	27090049.0	0.007450231	98.0	99.0	0.0	100.0	100.0	0.0	36.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	49.28046321928633	1.1508819021200354	0.0
CTR_5	47995743.0	0.0	47995743.0	1.0	47995743.0	0.0	47995743.0	0.0	0.0	0.0	0.0	22362037.0	541153.0	0.0	7745924.0	0.0	4741588734.0	4741588734.0	0.0	4741588734.0	4723714478.0	0.0	2208979858.0	20863004.0	0.004416652	98.0	99.0	0.0	100.0	100.0	0.0	36.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	46.591709185541724	1.1275020786739358	0.0
CTR_6	41209936.0	0.0	41209936.0	1.0	41209936.0	0.0	41209936.0	0.0	0.0	0.0	0.0	17115099.0	418636.0	0.0	6066816.0	0.0	4070264505.0	4070264505.0	0.0	4070264505.0	4054981666.0	0.0	1690209886.0	18068592.0	0.0044559	98.0	99.0	0.0	100.0	100.0	0.0	36.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	41.531486484230406	1.0158618057548063	0.0
GEM_50_TAX_10_1	47200293.0	0.0	47200293.0	1.0	47200293.0	0.0	47200293.0	0.0	0.0	0.0	0.0	20967848.0	488311.0	0.0	7304805.0	0.0	4664411460.0	4664411460.0	0.0	4664411460.0	4646557317.0	0.0	2072099169.0	22304270.0	0.004800171	98.0	99.0	0.0	100.0	100.0	0.0	36.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	44.42313101742822	1.0345507812843449	0.0
GEM_50_TAX_10_2	319337201.0	0.0	319337201.0	1.0	319337201.0	0.0	319337201.0	0.0	0.0	0.0	0.0	214560645.0	3686913.0	0.0	56533008.0	0.0	31553724401.0	31553724401.0	0.0	31553724401.0	31432642699.0	0.0	21200382141.0	154876307.0	0.004927244	98.0	99.0	0.0	100.0	100.0	0.0	36.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	67.1893673296147	1.1545516740468955	0.0
GEM_50_TAX_10_3	39407346.0	0.0	39407346.0	1.0	39407346.0	0.0	39407346.0	0.0	0.0	0.0	0.0	16241567.0	324338.0	0.0	5355840.0	0.0	3893906659.0	3893906659.0	0.0	3893906659.0	3878319775.0	0.0	1604862695.0	20011475.0	0.005159831	98.0	99.0	0.0	100.0	100.0	0.0	36.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	41.214566949015044	0.8230394404129626	0.0
GEM_50_TAX_10_5	37105812.0	0.0	37105812.0	1.0	37105812.0	0.0	37105812.0	0.0	0.0	0.0	0.0	15554378.0	281515.0	0.0	4814653.0	0.0	3667157293.0	3667157293.0	0.0	3667157293.0	3653433078.0	0.0	1537299504.0	17263774.0	0.004725357	98.0	99.0	0.0	100.0	100.0	0.0	36.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	41.91898023953768	0.7586816857693345	0.0
