Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
CTR_1	43721594.0	98.0	36644138.0	83.81	98.46	6132286.0	6111602.0	6046313.0	57229.0	5790.0	22954.0	0.42	0.02	1.55	0.02	1.7	3278772.0	7.5	18127.0	0.04	0.0	8.55	0.1	0	3736851	43706
CTR_2	39068621.0	98.0	31769123.0	81.32	98.41	5360820.0	5340243.0	5283089.0	50479.0	4599.0	22653.0	0.44	0.02	1.57	0.02	1.63	3270371.0	8.37	15470.0	0.04	0.0	10.18	0.1	0	3974614	39043
CTR_3	39082427.0	98.0	33590820.0	85.95	98.36	4184773.0	4164906.0	4121817.0	39003.0	3835.0	20118.0	0.45	0.02	1.61	0.02	1.69	2375126.0	6.08	18372.0	0.05	0.0	7.82	0.11	0	3055134	42975
CTR_4	41527998.0	98.0	33577541.0	80.86	98.17	5074218.0	5055184.0	4997672.0	50261.0	4774.0	21511.0	0.64	0.02	1.72	0.03	1.82	3456841.0	8.32	15012.0	0.04	0.0	10.69	0.09	0	4441213	37391
CTR_5	52173561.0	98.0	44465401.0	85.23	98.43	6955776.0	6930605.0	6856361.0	64498.0	6393.0	28524.0	0.4	0.02	1.58	0.01	1.63	3530342.0	6.77	22280.0	0.04	0.0	7.86	0.1	0	4103333	52205
CTR_6	45484477.0	98.0	38495647.0	84.63	98.41	4895016.0	4872525.0	4822392.0	47363.0	4393.0	20868.0	0.4	0.02	1.59	0.02	1.64	2714289.0	5.97	22051.0	0.05	0.0	9.23	0.12	0	4197913	54577
GEM_50_TAX_10_1	53236463.0	98.0	43741086.0	82.16	98.45	6716985.0	6686678.0	6619528.0	62686.0	6405.0	28366.0	0.44	0.02	1.59	0.02	1.65	3459207.0	6.5	21433.0	0.04	0.0	11.21	0.09	0	5966832	47905
GEM_50_TAX_10_2	359648108.0	98.0	295434988.0	82.15	98.43	43179883.0	42992836.0	42430568.0	466156.0	50729.0	232430.0	0.45	0.02	1.61	0.02	1.68	23902213.0	6.65	153314.0	0.04	0.0	10.86	0.3	0	39078088	1079505
GEM_50_TAX_10_3	44898622.0	98.0	36764644.0	81.88	98.42	5159688.0	5133845.0	5076752.0	50866.0	4827.0	27243.0	0.46	0.02	1.61	0.02	1.69	2642702.0	5.89	19225.0	0.04	0.0	12.09	0.1	0	5427161	44890
GEM_50_TAX_10_5	40784641.0	98.0	34677734.0	85.03	98.47	5415505.0	5391315.0	5333078.0	51681.0	5116.0	25630.0	0.43	0.02	1.59	0.01	1.64	2428078.0	5.95	16025.0	0.04	0.0	8.88	0.1	0	3622016	40788
GEM_50_TAX_10_6	50819508.0	98.0	41438941.0	81.54	98.44	6498511.0	6470425.0	6400564.0	61342.0	6411.0	30194.0	0.45	0.02	1.59	0.02	1.68	3734025.0	7.35	20526.0	0.04	0.0	10.97	0.1	0	5575194	50822
SIM_1	54341908.0	98.0	44826434.0	82.49	98.46	6351286.0	6323857.0	6253814.0	59408.0	6482.0	31582.0	0.42	0.02	1.59	0.01	1.64	4068797.0	7.49	25206.0	0.05	0.0	9.86	0.11	0	5361655	59816
SIM_2	51907930.0	98.0	42787149.0	82.43	98.42	5397563.0	5369134.0	5310366.0	53293.0	5027.0	28877.0	0.42	0.02	1.6	0.02	1.67	3500804.0	6.74	23314.0	0.04	0.0	10.68	0.1	0	5544746	51917
SIM_3	48219973.0	98.0	41166581.0	85.37	98.47	6218943.0	6192314.0	6125407.0	58879.0	5833.0	28824.0	0.4	0.02	1.58	0.01	1.61	3614666.0	7.5	20789.0	0.04	0.0	6.98	0.1	0	3369661	48276
SIM_4	45358277.0	98.0	38988222.0	85.96	98.47	4810976.0	4788529.0	4727485.0	58454.0	4469.0	20568.0	0.41	0.02	1.6	0.02	1.63	2520537.0	5.56	20830.0	0.05	0.0	8.33	0.11	0	3778788	49900
SIM_5	41102372.0	98.0	35750654.0	86.98	98.48	4851542.0	4828205.0	4776898.0	45282.0	4730.0	24632.0	0.39	0.02	1.59	0.02	1.63	2390878.0	5.82	18774.0	0.05	0.0	7.05	0.11	0	2896867	45199
SIM_6	47022001.0	98.0	38502145.0	81.88	98.44	6083906.0	6059653.0	5995967.0	55359.0	5840.0	26740.0	0.49	0.02	1.57	0.02	1.67	2863455.0	6.09	18672.0	0.04	0.0	11.89	0.1	0	5590709	47020
VPA_1	39315538.0	98.0	31447987.0	79.99	98.36	5722732.0	5701598.0	5641636.0	52007.0	5554.0	23535.0	0.48	0.02	1.56	0.01	1.62	3474975.0	8.84	15110.0	0.04	0.0	11.04	0.09	0	4342069	35397
VPA_2	39723160.0	98.0	32343600.0	81.42	98.36	5128307.0	5107048.0	5052608.0	47855.0	4812.0	23032.0	0.43	0.02	1.58	0.02	1.65	3363320.0	8.47	17783.0	0.04	0.0	9.96	0.1	0	3958711	39746
VPA_3	52344163.0	98.0	42918089.0	81.99	98.3	6730684.0	6702538.0	6634375.0	62735.0	6369.0	27205.0	0.43	0.02	1.59	0.01	1.64	4426027.0	8.46	23597.0	0.05	0.0	9.4	0.1	0	4924066	52384
VPA_4	50220192.0	98.0	43120719.0	85.86	98.44	5550995.0	5525747.0	5464492.0	54286.0	5123.0	27094.0	0.4	0.02	1.6	0.02	1.65	3088237.0	6.15	24277.0	0.05	0.0	7.82	0.12	0	3926703	60256
VPA_5	38313979.0	98.0	32987921.0	86.1	98.47	5392308.0	5372165.0	5315478.0	48475.0	4858.0	23497.0	0.4	0.02	1.58	0.01	1.61	2536172.0	6.62	15332.0	0.04	0.0	7.14	0.1	0	2736231	38323
