Sample	Provided strandedness	Inferred strandedness	Sense (%)	Antisense (%)	Undetermined (%)
CTR_1	unstranded	reverse	2.019999921321869	91.38000011444092	6.599999964237213
CTR_2	unstranded	reverse	2.0600000396370888	91.36999845504761	6.570000201463699
CTR_3	unstranded	reverse	2.2299999371170998	91.57000184059143	6.199999898672104
CTR_4	unstranded	reverse	1.9500000402331352	91.42000079154968	6.629999727010727
CTR_5	unstranded	reverse	2.1700000390410423	92.75000095367432	5.079999938607216
CTR_6	unstranded	reverse	2.3900000378489494	92.6800012588501	4.930000007152557
GEM_50_TAX_10_1	unstranded	reverse	2.250000089406967	92.77999997138977	4.969999939203262
GEM_50_TAX_10_2	unstranded	reverse	5.4099999368190765	90.10000228881836	4.490000009536743
GEM_50_TAX_10_3	unstranded	reverse	2.10999995470047	93.19999814033508	4.699999839067459
GEM_50_TAX_10_5	unstranded	reverse	1.7799999564886093	91.839998960495	6.379999965429306
GEM_50_TAX_10_6	unstranded	reverse	2.3399999365210533	92.61000156402588	5.050000175833702
SIM_1	unstranded	reverse	2.5100000202655792	92.46000051498413	5.02999983727932
SIM_2	unstranded	reverse	2.749999985098839	92.36999750137329	4.8700001090765
SIM_3	unstranded	reverse	2.160000056028366	92.76000261306763	5.079999938607216
SIM_4	unstranded	reverse	2.459999918937683	92.71000027656555	4.830000177025795
SIM_5	unstranded	reverse	2.03000009059906	93.15000176429749	4.820000007748604
SIM_6	unstranded	reverse	1.9300000742077827	92.84999966621399	5.220000073313713
VPA_1	unstranded	reverse	1.8200000748038292	91.82999730110168	6.350000202655792
VPA_2	unstranded	reverse	2.3099999874830246	91.1300003528595	6.560000032186508
VPA_3	unstranded	reverse	2.2099999710917473	92.43999719619751	5.339999869465828
VPA_4	unstranded	reverse	2.459999918937683	92.5499975681305	4.989999905228615
VPA_5	unstranded	reverse	1.7999999225139618	91.71000123023987	6.490000337362289
VPA_6	unstranded	reverse	2.239999920129776	92.6800012588501	5.079999938607216
VPA_SIM_1	unstranded	reverse	2.590000070631504	92.54000186920166	4.8700001090765
VPA_SIM_2	unstranded	reverse	2.630000002682209	92.76000261306763	4.610000178217888
VPA_SIM_3	unstranded	reverse	2.380000054836273	92.5000011920929	5.119999870657921
VPA_SIM_5	unstranded	reverse	2.5699999183416367	92.46000051498413	4.969999939203262
VPA_SIM_6	unstranded	reverse	2.4399999529123306	92.36999750137329	5.200000107288361
VS_GEM_50_TAX_10_1	unstranded	reverse	3.500000014901161	92.33999848365784	4.1600000113248825
VS_GEM_50_TAX_10_2	unstranded	reverse	2.6200000196695328	92.77999997138977	4.5899998396635056
VS_GEM_50_TAX_10_3	unstranded	reverse	1.9500000402331352	93.01000237464905	5.040000006556511
VS_GEM_50_TAX_10_4	unstranded	reverse	2.4800000712275505	92.94000267982483	4.580000042915344
VS_GEM_50_TAX_10_5	unstranded	reverse	2.5699999183416367	93.0400013923645	4.390000179409981
VS_GEM_50_TAX_10_6	unstranded	reverse	2.119999937713146	92.69000291824341	5.180000141263008
